job_size,perc_jobs_lte
1,76.428600
2,79.572500
3,80.979000
4,82.431600
5,85.072900
6,85.379700
7,85.526300
8,87.059200
9,87.120000
10,90.740300
11,90.761500
12,91.305700
13,91.309400
14,91.315200
15,91.845600
16,92.602100
17,92.604800
18,92.664000
19,92.670300
20,94.724200
21,94.730900
22,94.733700
23,94.734900
24,94.763000
25,95.262200
26,95.267400
27,95.305600
28,95.387100
29,95.414800
30,96.298800
31,96.308300
32,96.445500
33,96.445800
34,96.445900
35,96.462000
36,96.543900
37,96.559900
38,96.561400
39,96.561800
40,97.243800
41,97.254500
42,97.255300
43,97.260200
44,97.262400
45,97.268200
48,97.317400
49,97.317800
50,98.519400
51,98.523900
52,98.525800
53,98.525900
54,98.526500
55,98.527300
56,98.535400
57,98.537200
58,98.544300
59,98.549400
60,98.770700
61,98.794400
64,98.863800
65,98.864500
66,98.864600
68,98.864600
70,98.899100
75,98.899900
77,98.900000
80,99.103300
81,99.104300
85,99.104400
88,99.104500
90,99.109800
96,99.110600
97,99.110700
98,99.110900
99,99.113300
100,99.711500
101,99.711600
110,99.711700
120,99.724600
128,99.727600
130,99.730000
140,99.776400
150,99.805800
151,99.805900
160,99.809200
180,99.810300
190,99.810400
200,99.915400
210,99.915500
220,99.915600
240,99.915900
250,99.921400
256,99.922600
300,99.935100
350,99.935200
360,99.935300
400,99.975200
401,99.975300
500,99.986900
512,99.987900
600,99.993700
650,99.993800
700,99.995000
800,99.996900
900,99.998700
1000,99.999800
1024,99.999800
1050,99.999900
1200,100.000000
