Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1497338	0.5141666418293583	0.5030245827562329	0.35543982021068016	28846	0.1813594688477406	0.1583324610684674	0.18776217479827836
1.0	1656346	0.5069115818653417	0.4946782361451206	0.37021619217486723	29396	0.18084993644194533	0.1622765578411498	0.19386737514999766
1.0	1220700	0.5097855597550586	0.49568846357663787	0.3564557192574748	29788	0.16428839196230238	0.14944861612526902	0.1826174545606241
1.0	1422518	0.5459388114826005	0.5355679608618786	0.35876957958487005	29756	0.17366107336589065	0.1562700135449566	0.18356373474502832
1.0	2847706	0.6270002416542827	0.6169194678392317	0.3875066011669193	30718	0.22269884906584103	0.2026818517588688	0.19887287054522063
1.0	2550770	0.6003528739127214	0.5895549043416596	0.3675282982236927	29466	0.20908076479857327	0.18966881975254382	0.20123314400893
1.0	976004	0.532611139158354	0.5190640707625606	0.34767565043367954	29206	0.15339927708170156	0.1340101444741497	0.16899735920405393
1.0	1710794	0.5446848008347758	0.532598711303989	0.3624046769525571	30002	0.2143560251221708	0.19304437127832733	0.20427164340725493
1.0	1309594	0.5302281005318656	0.5189095189489609	0.35748276394800454	29966	0.15798568132925164	0.13541340258632975	0.18078234515099956
1.0	1570070	0.5963782305283097	0.5852476561185631	0.3632232443352111	29944	0.22338762100319073	0.20719803373849857	0.19378139362025634
1.0	2382102	0.5737181042903593	0.5606331061781457	0.3701449991407799	29016	0.2051659921284582	0.18566142207434386	0.1947067859576591
1.0	2382114	0.6083096912739167	0.597151565397872	0.37247331855631804	29210	0.17681397205069968	0.15585386170851057	0.19737547409090894
1.0	1509384	0.56206496735484	0.5494324387922004	0.36017987692116776	29638	0.19167906841730398	0.17707955971823483	0.1910626091622378
1.0	4259448	0.6133120967581508	0.6065160880670076	0.40255836078403	30364	0.2664531757515199	0.23922595525467236	0.21049378030836885
1.0	1608776	0.5682987070397678	0.5567430156253892	0.37315615266811925	29272	0.20037830176234753	0.18261934917296221	0.18296509553887677
1.0	1265434	0.5243858018375956	0.5118534145279762	0.3566303432985771	28636	0.15012899152203518	0.1374249686011684	0.18958219087659492
1.0	1099022	0.503245006074235	0.4891682961156727	0.34793456326159616	28124	0.1545753672648136	0.1402732078850899	0.17694576815231244
1.0	2665224	0.6178332759661254	0.6063268342441004	0.3795655572706343	29524	0.22797534043406817	0.2075972721177395	0.19963480118927004
1.0	1361610	0.5007602564890418	0.4875047247853814	0.35664033995135064	29018	0.165851592086647	0.15590599749714154	0.18710074006452884
1.0	1402830	0.5698387785750452	0.5586230848499655	0.3623121514404694	29486	0.18068447558055392	0.15860612964249154	0.1896861879048877
1.0	2189954	0.5837406821396992	0.5736317907771893	0.3880710138186279	30176	0.2611958058468423	0.24216397251062494	0.20380184814674443
1.0	1226298	0.5176587290497832	0.5036236548789975	0.347595626491158	28810	0.1987064767603369	0.17636388868586114	0.1948728160268304
1.0	2046460	0.5621395827769492	0.5533795992436545	0.38601757863191605	29976	0.25796834887656866	0.2397380131325069	0.19347797568745193
1.0	1008696	0.5179752523928117	0.5052289996758536	0.3474420422562874	29182	0.12605119394965372	0.11185695103729391	0.1827238999757106
1.0	1798750	0.5495497277602525	0.5342085138250648	0.3667645920418581	28546	0.18805049381231345	0.1659433468385017	0.18922030847005591
1.0	1592552	0.544324666319516	0.5322540287271846	0.37107394903430496	30048	0.19082725683662463	0.17166336875231888	0.19529713753880537
1.0	1558742	0.5516647362580983	0.5370480804489848	0.3654930813460224	29050	0.19928191183662458	0.18806842109523322	0.19120826691639478
1.0	909584	0.5230556698136308	0.5055699218941263	0.344604708774815	28482	0.11996153349192494	0.10580382416059635	0.18409262726325482
1.0	1594646	0.530349471196024	0.5158144036191895	0.36819311501369306	28868	0.20657565140101733	0.18587256562398588	0.19036695074948562
1.0	1181374	0.5750475992549647	0.5618998243879295	0.342574775618078	29098	0.19566881175770842	0.18281116298781988	0.1923815592177004
1.0	1302860	0.5237760887577203	0.5105294599739983	0.3613651960368353	29794	0.18777493704831785	0.16782795514367962	0.19521039898741824
1.0	3838078	0.6121369658085983	0.6058792346255181	0.407961373240235	30628	0.27954520509097397	0.2562529018979038	0.2126299901166396
1.0	1269610	0.5584787454612465	0.5445864956994798	0.35536010134041973	29010	0.1652295090435517	0.15458610981659268	0.1854253473715574
1.0	2651600	0.5838257191582558	0.5746312480017569	0.3753202325948693	29696	0.20805981098411938	0.18416254524602946	0.19525241861952816
1.0	2870334	0.5623702333127552	0.550119877853229	0.39124118826344273	29482	0.2145389391343755	0.1925638170275307	0.19644454556178512
1.0	1095580	0.5294786906207616	0.5124830174866173	0.3379384643770364	28662	0.17408047167232366	0.15575318528160215	0.1955608328151602
1.0	2420002	0.6054160833378385	0.5957433896004433	0.3729211066721187	30122	0.1759057356400283	0.1573662798560478	0.1905159239626514
1.0	980130	0.5167677659576518	0.5032531387102904	0.3421234695239632	29096	0.13960809330018664	0.12922373845891036	0.18424489927322685
1.0	1574382	0.5530649394718361	0.5402648661854103	0.36661186048423683	29968	0.19293660212449107	0.1768881343587941	0.1902885504577707
1.0	2671246	0.5638953684761907	0.5520219495022093	0.38219825158413817	29738	0.21858275779627734	0.19746901640240253	0.20381518288514333
1.0	1891562	0.529266165633295	0.5184321270216709	0.3800812438952395	30260	0.19110001306628566	0.17940420549878755	0.19728716165930713
1.0	1280190	0.5606933281024256	0.5492776643587342	0.356293495336075	29848	0.1841564087996833	0.16263147418993285	0.2080528273927368
