Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	2448492	0.5225203951212611	0.516978586012506	0.40194621999013797	31922	0.3108964964063015	0.2886410371059252	0.21021716767622656
1.0	2877322	0.5478727746253197	0.5429014211030994	0.4025426064266791	32048	0.29395310097928823	0.270757720798564	0.21067140258130992
1.0	3595804	0.5590403713094207	0.5520674300880525	0.3968703621043903	31718	0.3048221239662275	0.2754823783659049	0.21141503905833348
1.0	2702944	0.602805573476736	0.596182472635261	0.40564296390693094	31962	0.29805851058954075	0.2724866035498446	0.2007685252011114
1.0	3073528	0.5197880520426879	0.5134726009837459	0.4004569774069013	32132	0.29285359175440995	0.26979795567851933	0.21106572876736263
1.0	4393438	0.614859850436778	0.6106786716420588	0.4117233951843772	31604	0.31626443395706394	0.2912061069526002	0.2125722765763199
1.0	2852418	0.5378134895594742	0.532237621688353	0.40608762106964297	31714	0.30712039588797185	0.28195339696048116	0.19394387630737486
1.0	2716348	0.5817143417658404	0.5761155553191197	0.40909640588416846	31886	0.3411354595948259	0.3134153281088183	0.2071393518061372
1.0	4596640	0.6276237165976516	0.6210268663229895	0.3947553081901256	31868	0.2839318090577639	0.25752865929704044	0.2147061201924557
1.0	3202506	0.5677357300782745	0.560442436265478	0.40540773044021	31568	0.33102756442483455	0.3074620871582938	0.2140820140186135
1.0	2956328	0.5006959590276125	0.4936468436769734	0.3976872396134288	31950	0.2588762909794638	0.23574970320380326	0.20236772149897111
1.0	2896910	0.5321719796101662	0.5257289506764716	0.4056275132229831	31544	0.2931435176668688	0.26961263620283427	0.20155427839336093
1.0	4454988	0.6322642863297404	0.6275855326080008	0.42181846522035354	31932	0.34282320001782635	0.3114186157297372	0.20924120673588295
1.0	4144114	0.5964481184463551	0.5914118414090616	0.42189818914054483	32002	0.3190729355448461	0.29417376899990416	0.21645146578510213
1.0	4084760	0.6057542282669418	0.6000248707755036	0.41369726037011784	32064	0.28523595735813795	0.25838307835637697	0.21196302520050425
1.0	3214054	0.5639591371697169	0.5564160634764334	0.405166797704476	31904	0.30407445792991833	0.2876312828135727	0.201155905519246
1.0	2754880	0.5930257863095908	0.5856640013876087	0.39841928533783105	31430	0.2914142944436143	0.27304420756600173	0.2047950434125653
1.0	4146014	0.6017431680288562	0.5969301588165327	0.4088323254743273	31822	0.30596689422424334	0.2798947988331163	0.2205314051781958
1.0	3772474	0.6233467741822286	0.6179367728338984	0.40247822057563704	31848	0.29237099663604466	0.2642148104218341	0.21493841831880542
1.0	2597768	0.5644451484562454	0.5599550254245939	0.4030363294364456	32178	0.2984217264859842	0.27624645626415756	0.20284640442781518
1.0	3209686	0.5505387235751223	0.5442543682992352	0.40703410985102106	32042	0.3037936459224621	0.27654657186338005	0.21470117983091538
1.0	4430142	0.6227098598891351	0.6172090628790418	0.41704490243785153	31994	0.3124914367853158	0.28370272557517406	0.21394521713093562
1.0	4586970	0.63001120107624	0.6238450887465591	0.41339376650852233	32236	0.3092848670790887	0.2831955749339685	0.21582789931036359
1.0	2126838	0.5307397446238886	0.5249482675399456	0.39419038731908773	31618	0.28842460332791603	0.266472238458996	0.20222274023074438
1.0	3829232	0.6178216528766746	0.6106230511054428	0.407587060268755	31922	0.30592895836885403	0.28125149138602323	0.20152288834636314
