Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	3500956	0.6093697790518152	0.6019289645870692	0.39863552333932484	32068	0.2997130464733501	0.2793168491046339	0.20035975645820533
1.0	2966324	0.5198123908345548	0.515382558040095	0.4135666323271179	32138	0.3204052668755295	0.2938445369803583	0.21599619497599012
1.0	3454842	0.6359307500746194	0.6305993699042535	0.4060437563261359	32236	0.2999979121534993	0.27528629317871084	0.21116682557389055
1.0	3580378	0.6217436611013869	0.6160708052468957	0.4062535438650538	31804	0.303882110653707	0.28028487005471303	0.2097059903146601
1.0	4237538	0.598191426076061	0.59141432353939	0.4181915576409469	32134	0.30346787971311545	0.2791095466029427	0.20902358255996178
1.0	2920356	0.509463520987295	0.5028406866736285	0.3944628826625632	31800	0.2854689151895133	0.2644369182544041	0.20687458484554389
1.0	3821444	0.5684754511430249	0.5629672569068083	0.41524335078438596	31776	0.3246609047912751	0.3063094304620174	0.21484471131417818
1.0	3554324	0.5379970922546082	0.5332788735783672	0.4180128848179386	31976	0.34090599368373703	0.31810552580633983	0.2159572972716972
1.0	2923402	0.5350860500481867	0.528209814026252	0.4076462309244498	32268	0.2803409955315333	0.26284799236157635	0.20381442648151601
1.0	3569152	0.5509173441855449	0.5466512730695455	0.418745361851633	32206	0.3336729322431989	0.3086229061431048	0.21776070093434344
1.0	3580540	0.5986878070645923	0.5935298132163787	0.4113678382983865	32222	0.33926109776817764	0.31275394167123743	0.21420685775419412
1.0	4428332	0.6043264602313289	0.5984577106988214	0.421420508015685	32182	0.33369058778153127	0.3063787804711689	0.21610641672459455
1.0	4155166	0.5923630749342351	0.5862120197849344	0.41754113487307204	32174	0.32224713254408505	0.3001236002849218	0.2106333515944757
1.0	3651880	0.5696289074145797	0.5639692168996203	0.4272706942906317	32120	0.3477645110544337	0.32052209735854653	0.21290927047099095
1.0	2184718	0.517178105619003	0.5088095336227341	0.3897613605168752	32362	0.2641495144494129	0.24141912097323123	0.20587941808212593
1.0	3247974	0.5694730717674575	0.5629047883094107	0.4013000689030822	32000	0.3173329556387174	0.30377397137511225	0.21064004405556033
1.0	2199478	0.5788356498948618	0.5728087814333817	0.39921356254859436	32024	0.30518091847088735	0.28123229062863486	0.20458907026227358
1.0	3045498	0.5995861418614432	0.5934648527840481	0.40016510058715804	32180	0.2935059835048815	0.27905311809885364	0.2001404229043484
1.0	3516960	0.5503399122678775	0.5440584823183602	0.40641055009331417	32184	0.3331440370103363	0.31361788153399317	0.21324676379529814
1.0	2690832	0.5812308388017141	0.5758814292383829	0.3950511520770561	32234	0.3032545385249352	0.28608128434796315	0.20740965546768275
1.0	3404130	0.547233546219274	0.5416598208718357	0.4067276483488076	32252	0.34672299226259634	0.31836237331819506	0.19835171444920321
1.0	3698806	0.5488874579287951	0.5410458043747911	0.4143797525579987	32000	0.3088961715935912	0.2815570802325868	0.21262657376341834
1.0	3230982	0.5751109321043251	0.5688277727977157	0.41806195264063534	32462	0.3257143118654697	0.3000650517459911	0.213161652858753
1.0	4512076	0.5560052216395887	0.5512345429413157	0.4232714889711284	32076	0.34154648765952916	0.3110198738729814	0.21544314366208797
1.0	3273832	0.5694931940500699	0.562355492288673	0.40155627701031604	32128	0.3114618709870065	0.28398575962285194	0.20660479524700157
1.0	2652718	0.582677777989043	0.5756094624858735	0.3943421844219073	32086	0.2972656332807903	0.2727947529159713	0.20546886644348852
1.0	5679854	0.5778251658215321	0.5731427194890992	0.4239833279464835	32266	0.3494789569522274	0.3298430720343379	0.20993796049636762
1.0	2616764	0.5162477469701211	0.5100520447367758	0.40066530823938024	32088	0.30022096484557753	0.27598134095397936	0.19640844618515227
1.0	2239584	0.5221746065609395	0.5143859098137548	0.38925106036647183	32202	0.2752170114494945	0.2549714558167155	0.19838728898775115
