Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1020	0	0	0.28881516833752047	688	0	0	0.17322224411055515
1.0	2256	0	0	0.319291767050731	712	0	0	0.259723530013409
1.0	1582	0	0	0.29077730846785516	694	0	0	0.29123658334803926
1.0	1172	0	0	0.3308395957821258	662	0	0	0.25330262485608157
1.0	1940	0	0	0.31674491559830453	694	0	0	0.2534265064543306
1.0	1116	0	0	0.2915294600535843	668	0	0	0.26409945459510675
1.0	2406	0	0	0.3407069348311104	720	0	0	0.247277010280619
1.0	1258	0	0	0.33500513947945504	704	0	0	0.2568858189348912
1.0	1224	0	0	0.2846598194785102	714	0	0	0.27563786548743857
1.0	1258	0	0	0.3025856820087309	690	0	0	0.276645888408325
1.0	1934	0	0	0.3088944142560926	688	0	0	0.22377126357750557
1.0	1204	0	0	0.29034840988814375	676	0	0	0.2395649677906472
1.0	1660	0	0	0.3309690286230167	714	0	0	0.2984591047503465
1.0	2126	0	0	0.3204288486843949	690	0	0	0.21508766077205804
1.0	1408	0	0	0.3033443683758296	662	0	0	0.22789563340419353
1.0	1150	0	0	0.3038912204217228	688	0	0	0.22286009647133237
1.0	1410	0	0	0.3187843426178083	696	0	0	0.2779770494044859
1.0	1308	0	0	0.31483291552635395	684	0	0	0.27122886131406065
1.0	1568	0	0	0.30389626899061484	682	0	0	0.24899747719600662
1.0	1094	0	0	0.29877345899373686	686	0	0	0.2648777627660254
1.0	970	0	0	0.29787211099378835	706	0	0	0.15522867592462222
1.0	578	0	0	0.2718099579238125	614	0	0	0.1483260639528533
1.0	1322	0	0	0.312031315291873	678	0	0	0.2752390895951058
1.0	1138	0	0	0.29583232999149217	650	0	0	0.2351481778249434
1.0	988	0	0	0.29534289955922344	678	0	0	0.18290599399628685
1.0	1140	0	0	0.31482323435590454	666	0	0	0.2332726788838519
1.0	1746	0	0	0.305195779715033	620	0	0	0.2997214700692518
1.0	2196	0	0	0.3194326597272699	730	0	0	0.2574210434579537
1.0	2308	0	0	0.3088592981511898	720	0	0	0.2631369375708339
1.0	1226	0	0	0.3174300375629135	700	0	0	0.24536525188010644
1.0	2698	0	0	0.3447037688273646	790	0	0	0.250984892454428
1.0	1264	0	0	0.3231766580318911	738	0	0	0.26505804846371533
1.0	1198	0	0	0.31615746874350914	640	0	0	0.30845753226485745
1.0	2468	0	0	0.34822502678662304	736	0	0	0.31784418993419133
1.0	1350	0	0	0.2946202981752558	720	0	0	0.305182918727544
1.0	936	0	0	0.24484600221179173	664	0	0	0.22524597338192928
1.0	1256	0	0	0.3219686225012203	704	0	0	0.22353697201670056
1.0	1456	0	0	0.3166605503794214	708	0	0	0.2660181700563003
1.0	1432	0	0	0.32864223998924946	646	0	0	0.27541589416488454
1.0	1610	0	0	0.32825003007656456	694	0	0	0.2833140131286422
1.0	1570	0	0	0.30607214738917543	712	0	0	0.23005663692575978
1.0	1496	0	0	0.31338272020551905	668	0	0	0.22833057971921422
1.0	838	0	0	0.35081209800961	630	0	0	0.20499815362346904
1.0	2240	0	0	0.3231830120369418	708	0	0	0.29538380370794154
1.0	1322	0	0	0.2853280225780303	648	0	0	0.3074010275187616
1.0	1388	0	0	0.29843193404106055	698	0	0	0.2568479743973077
1.0	1470	0	0	0.30100179798527316	638	0	0	0.2372756259075206
1.0	2368	0	0	0.3299019549251638	728	0	0	0.21679890575345834
1.0	1362	0	0	0.2934431949999212	670	0	0	0.2586246165117889
1.0	2528	0	0	0.3158295657055635	724	0	0	0.24267237464516783
1.0	1360	0	0	0.3118511793732033	708	0	0	0.27818676303197626
1.0	1662	0	0	0.31117487288404294	730	0	0	0.28376279930015014
1.0	886	0	0	0.2894112081372821	624	0	0	0.245514982452721
1.0	1384	0	0	0.2968853762927709	674	0	0	0.3040940653922811
1.0	1008	0	0	0.2995577129886515	614	0	0	0.2745270444798061
1.0	1538	0	0	0.31510606288606496	696	0	0	0.2856734340336282
1.0	1318	0	0	0.27782592115478666	642	0	0	0.26948636723992786
1.0	1256	0	0	0.2518506984130062	636	0	0	0.21965355388368163
1.0	686	0	0	0.23536362993020715	562	0	0	0.16831806418548792
1.0	2272	0	0	0.3206189422294528	724	0	0	0.21182557978220629
1.0	1342	0	0	0.3163462277086297	630	0	0	0.2789330351811609
1.0	1334	0	0	0.3087380937696163	716	0	0	0.21141407039228738
1.0	1354	0	0	0.3209685902467097	732	0	0	0.24726791272603105
1.0	1766	0	0	0.34923357012422424	742	0	0	0.3495828106254656
1.0	810	0	0	0.22560018482211205	608	0	0	0.16035023872365362
1.0	2226	0	0	0.3126803724729478	696	0	0	0.29706611735776683
1.0	1122	0	0	0.3210383056129666	606	0	0	0.25664732974904836
1.0	1254	0	0	0.3171256230913564	672	0	0	0.29770159066384594
1.0	1328	0	0	0.3196274558608372	686	0	0	0.1900819472598084
1.0	1340	0	0	0.3002749409577905	638	0	0	0.17161134900449163
1.0	1294	0	0	0.30771056571577377	674	0	0	0.2513737636205341
1.0	1078	0	0	0.3100969946287574	710	0	0	0.21770024557959652
1.0	2088	0	0	0.32781024081147286	692	0	0	0.27608519756639377
1.0	1478	0	0	0.30013117067023193	748	0	0	0.22698978136611342
1.0	1964	0	0	0.30595558315794724	656	0	0	0.2889145297431909
1.0	2148	0	0	0.30371838844971366	688	0	0	0.30048003625080677
1.0	1062	0	0	0.27092820960820835	638	0	0	0.235328649312387
1.0	1894	0	0	0.3135940398786682	676	0	0	0.15972475446486492
1.0	1456	0	0	0.326912740406233	666	0	0	0.3120206592783041
1.0	1362	0	0	0.31296716531647734	706	0	0	0.2220794919633222
1.0	1726	0	0	0.3019329325514847	716	0	0	0.2970712715829135
1.0	1212	0	0	0.32003127816122495	728	0	0	0.29263107327900595
1.0	1064	0	0	0.30121317187197844	648	0	0	0.235190570934292
1.0	854	0	0	0.2628266775586887	646	0	0	0.3322388052763517
1.0	3046	0	0	0.32540234161219816	788	0	0	0.3052125394918361
1.0	1002	0	0	0.3088971338129499	628	0	0	0.25022738822995455
1.0	1144	0	0	0.3017661492374065	680	0	0	0.28369942992925573
1.0	614	0	0	0.24071187234428146	588	0	0	0.21384465314256276
1.0	1140	0	0	0.3163361350116335	660	0	0	0.24205679553324572
1.0	1098	0	0	0.2947280131740011	666	0	0	0.18710779869965072
1.0	1910	0	0	0.3303836230882973	690	0	0	0.2703781054941147
1.0	2002	0	0	0.3154756518409014	624	0	0	0.32805666208340967
1.0	1100	0	0	0.29069881806585796	608	0	0	0.2264082355008625
1.0	836	0	0	0.30089261091833863	610	0	0	0.1890440230565308
1.0	2294	0	0	0.3327165680301823	728	0	0	0.22302715841505727
1.0	884	0	0	0.31427172210309995	670	0	0	0.22312256477260886
1.0	1050	0	0	0.2508826560208779	648	0	0	0.21459689861005926
1.0	1506	0	0	0.29017703651580523	742	0	0	0.20513257839254168
1.0	1178	0	0	0.2443849169422102	696	0	0	0.13707314219913821
1.0	1886	0	0	0.3101971767548652	714	0	0	0.25019832010193066
1.0	1438	0	0	0.2816610924610952	690	0	0	0.1661583548621912
1.0	2002	0	0	0.3012375611187753	638	0	0	0.25822620620309955
1.0	1196	0	0	0.3053336147068955	674	0	0	0.24295825792356152
1.0	1320	0	0	0.328796932303143	724	0	0	0.27513356841708575
1.0	2356	0	0	0.3337738283910385	704	0	0	0.25352489239535014
1.0	2174	0	0	0.31869221791415725	712	0	0	0.28544508576916144
1.0	2036	0	0	0.3046852083095778	728	0	0	0.23293996072899253
1.0	1994	0	0	0.29303453579261746	672	0	0	0.2962014952298411
1.0	1246	0	0	0.3330456287120803	656	0	0	0.20571466121454937
1.0	1504	0	0	0.3523540573071043	710	0	0	0.26571066043657554
1.0	1730	0	0	0.3120148638106342	708	0	0	0.33215310931811437
1.0	1844	0	0	0.29295579362220486	758	0	0	0.24254475902363906
1.0	746	0	0	0.2819298515191102	648	0	0	0.2092384113221158
1.0	1134	0	0	0.26827765667981274	660	0	0	0.23572176154319668
1.0	1162	0	0	0.28520858969789664	734	0	0	0.30178742941761433
1.0	1294	0	0	0.30280665124063955	656	0	0	0.2820275930661232
1.0	726	0	0	0.31886885825591743	592	0	0	0.17869573605877972
1.0	790	0	0	0.3198721495686573	664	0	0	0.26209417093717774
1.0	896	0	0	0.3041325467034596	574	0	0	0.14522645952535077
1.0	1704	0	0	0.3104894722437746	718	0	0	0.27412318789902496
1.0	1184	0	0	0.32669302784356646	672	0	0	0.2272874314532105
1.0	968	0	0	0.3148330571086059	608	0	0	0.2786610914186454
1.0	1568	0	0	0.34598312390589936	704	0	0	0.2039059013208957
1.0	2074	0	0	0.30265126895982947	732	0	0	0.21663660941277071
1.0	1232	0	0	0.3237497785626092	704	0	0	0.2539316878270232
1.0	868	0	0	0.32103223823651944	580	0	0	0.1927116135867666
1.0	1042	0	0	0.33321066110385955	712	0	0	0.2657324289221288
1.0	1232	0	0	0.30572106116005654	694	0	0	0.2940830886650932
1.0	1736	0	0	0.3009966713970746	792	0	0	0.2663272386864971
1.0	1004	0	0	0.29487426649515486	632	0	0	0.20543665555483423
1.0	1098	0	0	0.28796252785577514	694	0	0	0.26755327023189185
1.0	1132	0	0	0.3084298432643145	648	0	0	0.20205653291083184
1.0	2164	0	0	0.32222608149795784	680	0	0	0.31559037728099915
1.0	1350	0	0	0.3103191900485641	644	0	0	0.25513287825877207
1.0	2468	0	0	0.32603638586089184	784	0	0	0.30268969363138665
1.0	1330	0	0	0.30484919535689897	730	0	0	0.3507791650572334
1.0	1416	0	0	0.33113598721378146	724	0	0	0.2686248706551243
1.0	1050	0	0	0.2809619115873097	602	0	0	0.28555373625874764
1.0	1010	0	0	0.3086300275105484	690	0	0	0.27748761743090233
1.0	1978	0	0	0.32177356387625133	686	0	0	0.21522919342528077
1.0	1336	0	0	0.31143837040408684	690	0	0	0.29968640700075266
1.0	944	0	0	0.2702661950814218	658	0	0	0.24008180704915308
1.0	848	0	0	0.3051708482784018	608	0	0	0.2679434352720235
1.0	1388	0	0	0.32421855449749787	672	0	0	0.22558200757303984
1.0	1558	0	0	0.2829627262627066	734	0	0	0.2970099638157366
1.0	976	0	0	0.333899033746827	626	0	0	0.1629426595694545
1.0	1350	0	0	0.32833129689606805	630	0	0	0.19578911573190164
1.0	866	0	0	0.300118369489569	590	0	0	0.24407886773223766
1.0	1974	0	0	0.35226282825577815	734	0	0	0.27820692331586433
1.0	1172	0	0	0.30267278200382813	672	0	0	0.2154784804376504
1.0	1974	0	0	0.32947672255103394	684	0	0	0.3417435155535206
1.0	2014	0	0	0.30985396199042275	700	0	0	0.2674489785107621
1.0	1110	0	0	0.3024679252296946	628	0	0	0.22210141741949754
1.0	944	0	0	0.3132594048925009	636	0	0	0.29590559450588483
1.0	832	0	0	0.33838458995871745	642	0	0	0.24038551939706387
1.0	2104	0	0	0.3238871229646722	720	0	0	0.29392645384483695
1.0	1086	0	0	0.2953021972314441	632	0	0	0.2838372585617428
1.0	2052	0	0	0.3140983266072542	702	0	0	0.2629650816414415
1.0	3366	0	0	0.3512973184028263	688	0	0	0.28395508303802897
1.0	992	0	0	0.2632214850012832	606	0	0	0.2115767383136204
1.0	2548	0	0	0.3195987846174446	764	0	0	0.2794087526800997
1.0	1192	0	0	0.3096894366790224	652	0	0	0.2475437737917229
1.0	808	0	0	0.3118182939546617	612	0	0	0.24687420609439495
1.0	962	0	0	0.2533344518460189	636	0	0	0.1958384749434064
1.0	1656	0	0	0.32486255587621937	728	0	0	0.2637200425288011
1.0	1058	0	0	0.2921489454911541	628	0	0	0.22910954064179867
1.0	2114	0	0	0.30220612452063844	722	0	0	0.3137639954883186
1.0	2068	0	0	0.33054614086822726	664	0	0	0.29718117604437705
1.0	1394	0	0	0.2822247544498817	686	0	0	0.1859797486736981
1.0	2062	0	0	0.30425250773320206	708	0	0	0.21754976439019574
1.0	1406	0	0	0.29450621771605145	688	0	0	0.21749010027903512
1.0	1296	0	0	0.32716646397152077	676	0	0	0.28849590075377
1.0	1578	0	0	0.3211767834922787	750	0	0	0.3040532257960322
1.0	930	0	0	0.24036485935933488	678	0	0	0.2377192604903164
1.0	1436	0	0	0.3325135178206048	648	0	0	0.25929092918320995
1.0	1004	0	0	0.307035023298311	636	0	0	0.16203012790507476
1.0	1628	0	0	0.32033890425774075	682	0	0	0.22754452211902382
1.0	1830	0	0	0.31307633981360694	804	0	0	0.3087262232152032
1.0	1420	0	0	0.31164372535012147	730	0	0	0.3559842481504681
1.0	3244	0	0	0.3430286141859589	744	0	0	0.2927907963388487
1.0	1970	0	0	0.3082176257426715	716	0	0	0.24704775821379502
1.0	1596	0	0	0.31388797471275437	702	0	0	0.3073635813632773
1.0	1862	0	0	0.3068514942959738	678	0	0	0.20991061938304606
1.0	1012	0	0	0.269502423619332	618	0	0	0.22211256165219911
1.0	1192	0	0	0.32350307491488406	694	0	0	0.21203706485767593
1.0	1276	0	0	0.30344992795044484	684	0	0	0.2809739928701037
1.0	1618	0	0	0.31228118409283506	702	0	0	0.24719055748886548
1.0	1366	0	0	0.3167049662893034	698	0	0	0.20451367294755546
