Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1242	0	0	0.2971487105803112	724	0	0	0.3005992181681944
1.0	1552	0	0	0.3049194107294546	766	0	0	0.25651749133238816
1.0	1254	0	0	0.3108219311368724	704	0	0	0.20681471467620316
1.0	1850	0	0	0.321067701098496	730	0	0	0.29786862866551583
1.0	1416	0	0	0.2897717749173454	714	0	0	0.2568523352178186
1.0	1744	0	0	0.33143080604527236	798	0	0	0.28569754639444445
1.0	1384	0	0	0.33037491046566797	752	0	0	0.2544157791578239
1.0	1734	0	0	0.30249972889406185	684	0	0	0.2435239554683792
1.0	2000	0	0	0.31656262317405376	768	0	0	0.23244115971073978
1.0	2460	0	0	0.33931519509744573	778	0	0	0.27859015944470555
1.0	1662	0	0	0.3140047321256551	764	0	0	0.2930294473194318
1.0	1482	0	0	0.32122774513087915	774	0	0	0.21732071341530332
1.0	1158	0	0	0.3020491904371019	710	0	0	0.25224160301681264
1.0	1468	0	0	0.3098126011683923	790	0	0	0.23915059788884074
1.0	1620	0	0	0.33588913191928677	778	0	0	0.23536587326391673
1.0	2222	0	0	0.325121158891787	762	0	0	0.3434333749960525
1.0	1014	0	0	0.26336568283831185	658	0	0	0.23198237244962083
1.0	2198	0	0	0.3070403910152773	756	0	0	0.23481221512478143
1.0	1274	0	0	0.2849586191532157	736	0	0	0.27301116392854424
1.0	1954	0	0	0.33010671789875684	804	0	0	0.2926481432046191
1.0	2024	0	0	0.31615713949894164	822	0	0	0.2669352555980916
1.0	854	0	0	0.22128388823223769	710	0	0	0.1923684389374405
1.0	1604	0	0	0.31523790684640535	760	0	0	0.2521265471880203
1.0	1352	0	0	0.29295157710442643	712	0	0	0.25663058769937125
1.0	936	0	0	0.26396786134101136	674	0	0	0.1573071125770078
1.0	2070	0	0	0.3012909842119039	746	0	0	0.2874045869926199
1.0	970	0	0	0.30978497667127564	610	0	0	0.2387498079248328
1.0	914	0	0	0.288097430010344	700	0	0	0.13122023809523808
1.0	2448	0	0	0.31527506003369715	738	0	0	0.21776041155741208
1.0	1444	0	0	0.32311990331052043	730	0	0	0.309549869282355
1.0	1748	0	0	0.3310323489216415	768	0	0	0.2491095954708171
1.0	1044	0	0	0.24104156498087909	724	0	0	0.3076588828147572
1.0	1532	0	0	0.3208994423301895	746	0	0	0.2954094814192132
1.0	890	0	0	0.2994251102272262	654	0	0	0.15151334245005382
1.0	1270	0	0	0.26325573888692755	716	0	0	0.2501982485754168
1.0	810	0	0	0.2968260757080227	636	0	0	0.34607916795318866
1.0	1114	0	0	0.27693379438375915	684	0	0	0.26839975924443893
1.0	1474	0	0	0.2871060672827465	746	0	0	0.1509714216163044
1.0	2006	0	0	0.3224912216825216	840	0	0	0.33048005218219634
1.0	722	0	0	0.29004869954731793	618	0	0	0.16208441419325637
1.0	756	0	0	0.2803421078737098	634	0	0	0.3051140065500845
1.0	2298	0	0	0.3087257134007933	712	0	0	0.23514811911087283
1.0	2640	0	0	0.3188371282464734	794	0	0	0.24886375953076337
1.0	1316	0	0	0.3264015358316884	712	0	0	0.22120019367907034
1.0	1304	0	0	0.3301882338669277	758	0	0	0.2651240481218048
1.0	834	0	0	0.2724087699249683	682	0	0	0.13903012958139999
1.0	1542	0	0	0.29621627514098936	730	0	0	0.26453685290902423
1.0	2280	0	0	0.3345432771626815	820	0	0	0.3400213609128585
1.0	2208	0	0	0.3313971165401785	788	0	0	0.2803909647623092
1.0	1548	0	0	0.3109766731057499	770	0	0	0.19406152486673012
1.0	1368	0	0	0.28464182825217826	730	0	0	0.2636479209116952
1.0	1212	0	0	0.29133082284164785	718	0	0	0.2313807934555327
1.0	1108	0	0	0.2837039330893108	778	0	0	0.24805590183838455
1.0	1594	0	0	0.33705398082792865	728	0	0	0.286159377345029
1.0	2468	0	0	0.32301301623325124	832	0	0	0.31485420028783756
1.0	1194	0	0	0.31858002390019075	736	0	0	0.26655031370242627
1.0	1248	0	0	0.3030461201662662	718	0	0	0.27694868580925586
1.0	2066	0	0	0.2973544659421289	776	0	0	0.22568348483546133
1.0	1606	0	0	0.31383172544828014	734	0	0	0.2757359028267706
1.0	1506	0	0	0.3130843761707093	778	0	0	0.34402058528580054
1.0	2228	0	0	0.29563604581186365	736	0	0	0.2156366392588679
1.0	1334	0	0	0.2995740382832688	710	0	0	0.26825801750127165
1.0	2498	0	0	0.3221668587482387	784	0	0	0.22512865582229288
1.0	2572	0	0	0.31050057661904573	796	0	0	0.20129607353785184
1.0	1218	0	0	0.32252781247697443	682	0	0	0.2720372016767708
1.0	1518	0	0	0.3255202783798488	746	0	0	0.29107844617993417
1.0	1766	0	0	0.3017214739873575	806	0	0	0.282553623368609
1.0	1054	0	0	0.29547452047966494	730	0	0	0.16190421055996562
1.0	928	0	0	0.30624169869660534	686	0	0	0.2440589999129195
1.0	2290	0	0	0.2917113683030563	754	0	0	0.17203212254998135
1.0	1022	0	0	0.28755253850372003	634	0	0	0.2077485328650965
1.0	1410	0	0	0.2872961693012883	732	0	0	0.2420089811673194
1.0	1416	0	0	0.3278520289266418	742	0	0	0.22922364549340557
1.0	1688	0	0	0.3088663783218925	742	0	0	0.22942573438066216
1.0	1340	0	0	0.3108738593693918	746	0	0	0.18620107583995985
1.0	1648	0	0	0.32273840599187104	758	0	0	0.3091588487794618
1.0	1158	0	0	0.3054854089310669	742	0	0	0.17925016942866462
1.0	1262	0	0	0.2874589621575001	692	0	0	0.28724486994541787
1.0	1190	0	0	0.29613794125879495	790	0	0	0.32073327527518297
1.0	1220	0	0	0.28118431507831854	708	0	0	0.13951397929117557
1.0	1024	0	0	0.28294766774961944	656	0	0	0.325977769384229
1.0	1362	0	0	0.32784415606157613	754	0	0	0.2093601805879843
1.0	2294	0	0	0.31333436641082163	768	0	0	0.3096656466288659
1.0	3094	0	0	0.33093963116085406	826	0	0	0.2476244795479405
1.0	1792	0	0	0.30937629127864247	774	0	0	0.2510199393039819
1.0	1556	0	0	0.33619404517020535	800	0	0	0.2368160590588011
1.0	1654	0	0	0.27834133915681836	692	0	0	0.2940306416491422
1.0	1462	0	0	0.29053512305523105	772	0	0	0.22881657821452617
1.0	1610	0	0	0.2784321104668218	788	0	0	0.2540636156144205
1.0	1294	0	0	0.30820952474038965	678	0	0	0.1914003501210306
1.0	1334	0	0	0.2845860257988026	640	0	0	0.2141152392762952
1.0	986	0	0	0.27490464414097876	710	0	0	0.37580458555894664
1.0	1356	0	0	0.3336537337730544	680	0	0	0.3117329308674387
1.0	1488	0	0	0.3150255438881436	794	0	0	0.21092029700680817
1.0	3126	0	0	0.3321144925262512	806	0	0	0.22768934549996914
1.0	1242	0	0	0.2896154181004358	746	0	0	0.24657308088960236
1.0	1544	0	0	0.3103494550917935	678	0	0	0.19644730493460816
1.0	1216	0	0	0.29356282041927384	750	0	0	0.22417238130782025
1.0	1440	0	0	0.2846661742254424	706	0	0	0.2898690170478172
1.0	1260	0	0	0.2808073705004994	728	0	0	0.15997706402086725
1.0	1388	0	0	0.3101199177573113	730	0	0	0.28047572204050086
1.0	912	0	0	0.32023077183405674	714	0	0	0.14985945791651506
1.0	1280	0	0	0.3173910006891219	766	0	0	0.24391008079229315
1.0	2376	0	0	0.31965830064973055	740	0	0	0.2345978398553543
1.0	1592	0	0	0.31218687117327115	750	0	0	0.2384259970039846
1.0	1332	0	0	0.30721038601322503	750	0	0	0.3061071976402903
1.0	860	0	0	0.3224555575549841	660	0	0	0.17107209231289822
1.0	1158	0	0	0.3134874275098414	700	0	0	0.15782917874195307
1.0	2460	0	0	0.3298377083685446	716	0	0	0.24518846227991115
1.0	1716	0	0	0.28779437319876705	770	0	0	0.2025966680288
1.0	2392	0	0	0.34793408434937717	782	0	0	0.24405158124457185
1.0	2302	0	0	0.3238070883771066	786	0	0	0.31184618282015514
1.0	926	0	0	0.21756155375268568	666	0	0	0.1707226660899396
1.0	1370	0	0	0.3201464418140918	684	0	0	0.22154664214102265
1.0	1688	0	0	0.33027463614047786	752	0	0	0.3101666219585347
1.0	1506	0	0	0.3357311526173997	764	0	0	0.2741378477549224
1.0	2860	0	0	0.3220668204776463	830	0	0	0.24990094592736778
1.0	1424	0	0	0.30442447367611275	758	0	0	0.3135674179744137
1.0	1216	0	0	0.2859556011587011	694	0	0	0.2349730712312578
1.0	1438	0	0	0.30646061601191366	726	0	0	0.21999307010949026
1.0	1718	0	0	0.31401126036848903	722	0	0	0.22108504057842776
1.0	1494	0	0	0.30502223419175334	756	0	0	0.26574166645110203
1.0	1510	0	0	0.33161179402776175	706	0	0	0.2518459732305797
1.0	1138	0	0	0.2914848150548041	744	0	0	0.20492734828934628
1.0	1886	0	0	0.3323955398080607	812	0	0	0.273805899834058
1.0	1266	0	0	0.2976582699930898	716	0	0	0.30795178047866734
1.0	1118	0	0	0.31583659172849204	702	0	0	0.26924639357051444
1.0	1598	0	0	0.3219892422360017	752	0	0	0.29991781754079105
1.0	2498	0	0	0.30040647292776884	730	0	0	0.2934430876362385
1.0	1302	0	0	0.23186589819751874	726	0	0	0.17703649448583986
1.0	906	0	0	0.2646575593223123	666	0	0	0.23960625098152172
1.0	1172	0	0	0.28162088552387693	656	0	0	0.25390280953357447
1.0	1486	0	0	0.32159976018633685	734	0	0	0.27913324121568645
1.0	2150	0	0	0.2814603132116451	722	0	0	0.1996891332759644
1.0	1480	0	0	0.31599298304934853	762	0	0	0.24670905475213148
1.0	900	0	0	0.29888146300502605	712	0	0	0.32810144118861967
1.0	1702	0	0	0.3215125268112383	770	0	0	0.26959941569426116
1.0	1810	0	0	0.32908471808731726	800	0	0	0.25479627884958905
1.0	1696	0	0	0.3249017716780743	802	0	0	0.33388579133984153
1.0	1156	0	0	0.3068951157283098	690	0	0	0.26139198650115014
