Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1874	0	0	0.33883995500515307	746	0	0	0
0.96484375	2222	0	0	0.34542793759356133	736	0	0	0
0.9375	1580	0	0	0.32075124873658173	728	0	0	0
0.9375	1052	0	0	0.2875081885171912	698	0	0	0
0.9765625	1346	0	0	0.3194391178692786	686	0	0	0
0.9375	1228	0	0	0.3021531867917274	724	0	0	0
1.0	2170	0	0	0.33433753522711307	736	0	0	0
0.9375	1204	0	0	0.3046553961244356	562	0	0	0
0.953125	1064	0	0	0.3037059770735987	640	0	0	0
0.984375	2006	0	0	0.30028217465097967	714	0	0	0
1.0	1316	0	0	0.3112302197883694	690	0	0	0
0.984375	1244	0	0	0.2937280580708518	680	0	0	0
0.984375	1542	0	0	0.32235917319634017	768	0	0	0
0.9375	1162	0	0	0.3009793136207493	696	0	0	0
0.9375	1238	0	0	0.30373676246179643	732	0	0	0
0.953125	1854	0	0	0.3378990694615483	732	0	0	0
1.0	722	0	0	0.2381071437343897	624	0	0	0
0.9375	1458	0	0	0.30503756821077205	746	0	0	0
1.0	1000	0	0	0.2711892437458989	686	0	0	0
0.96875	1280	0	0	0.30594746345297336	690	0	0	0
0.984375	1056	0	0	0.2778935035205749	666	0	0	0
0.9375	1240	0	0	0.29357698712248603	680	0	0	0
0.890625	1200	0	0	0.29609983374579796	616	0	0	0
0.9375	716	0	0	0.23952984903644509	598	0	0	0
0.9375	1166	0	0	0.30305794625769794	708	0	0	0
0.9375	940	0	0	0.2933005473340729	632	0	0	0
1.0	1536	0	0	0.3199156720617055	758	0	0	0
0.984375	1246	0	0	0.29699217144874895	718	0	0	0
0.984375	1200	0	0	0.30118778527199513	690	0	0	0
0.86328125	1128	0	0	0.27632969429473453	588	0	0	0
0.96484375	1622	0	0	0.32495034341456086	756	0	0	0
0.9375	2058	0	0	0.31894275121011767	736	0	0	0
0.9375	1332	0	0	0.3164319167342311	660	0	0	0
0.9375	1154	0	0	0.2975196914449898	662	0	0	0
0.953125	1030	0	0	0.2827937929947536	698	0	0	0
0.96875	1014	0	0	0.300630463304892	608	0	0	0
0.96875	1398	0	0	0.2990632260551296	716	0	0	0
0.9375	952	0	0	0.26563844128033515	658	0	0	0
0.94921875	1540	0	0	0.31765806948353503	734	0	0	0
0.9375	792	0	0	0.2372250662033145	594	0	0	0
0.9375	1418	0	0	0.3241104189404996	690	0	0	0
0.96875	1242	0	0	0.3252907670280967	694	0	0	0
0.984375	1346	0	0	0.31927712328864033	732	0	0	0
0.9375	812	0	0	0.2656458060880168	642	0	0	0
0.9765625	1218	0	0	0.31094205998518587	706	0	0	0
1.0	1018	0	0	0.28593549799470935	676	0	0	0
0.984375	1216	0	0	0.2948119102330482	710	0	0	0
0.96875	1272	0	0	0.2929725429571792	712	0	0	0
1.0	3360	0	0	0.3823633846816335	808	0	0	0
0.9375	2048	0	0	0.32199948905942444	708	0	0	0
1.0	1470	0	0	0.3086180225460183	732	0	0	0
0.9375	1228	0	0	0.3167039165807442	658	0	0	0
0.96875	2558	0	0	0.3350267603377846	736	0	0	0
0.9375	1182	0	0	0.2916986263006601	670	0	0	0
0.96875	1624	0	0	0.3244640187547911	774	0	0	0
0.96484375	984	0	0	0.28758528735350547	722	0	0	0
1.0	958	0	0	0.2611566647791598	664	0	0	0
1.0	1252	0	0	0.3034109315511271	728	0	0	0
0.984375	1518	0	0	0.3042893632911528	752	0	0	0
0.96875	1260	0	0	0.3016036913715383	676	0	0	0
0.9609375	1016	0	0	0.28570752839502306	642	0	0	0
1.0	1382	0	0	0.30312688758749157	772	0	0	0
0.984375	2162	0	0	0.3176402539126951	708	0	0	0
