Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1026	0	0	0.23103405339602295	668	0	0	0
1.0	1216	0	0	0.2500339564187546	766	0	0	0
1.0	1130	0	0	0.2485715634274399	778	0	0	0
1.0	1534	0	0	0.27325977876571816	750	0	0	0
1.0	1284	0	0	0.2501887470976969	752	0	0	0
1.0	1668	0	0	0.29091967321967444	748	0	0	0
1.0	1160	0	0	0.23544301304893148	686	0	0	0
1.0	766	0	0	0.190642792543988	612	0	0	0
1.0	840	0	0	0.19410791633353108	632	0	0	0
1.0	774	0	0	0.19801250581630342	678	0	0	0
1.0	1356	0	0	0.2521919943598579	738	0	0	0
1.0	1326	0	0	0.2477565205506805	738	0	0	0
1.0	1472	0	0	0.2840231584998773	728	0	0	0
1.0	1356	0	0	0.264742514790871	808	0	0	0
1.0	1186	0	0	0.24443524104582473	712	0	0	0
1.0	1464	0	0	0.2776258652989004	784	0	0	0
1.0	1102	0	0	0.236652482153417	702	0	0	0
1.0	1286	0	0	0.24699438180901684	756	0	0	0
1.0	1170	0	0	0.24622988558350153	678	0	0	0
1.0	2550	0	0	0.29700900554920384	778	0	0	0
1.0	1176	0	0	0.22757886591648793	654	0	0	0
1.0	1288	0	0	0.254564641876171	670	0	0	0
1.0	1388	0	0	0.2623455902351611	818	0	0	0
1.0	1610	0	0	0.2828951203776002	802	0	0	0
1.0	1390	0	0	0.25455267900102346	684	0	0	0
1.0	1112	0	0	0.23335937331743542	702	0	0	0
1.0	1778	0	0	0.29475922463512727	748	0	0	0
1.0	1456	0	0	0.255872620182124	712	0	0	0
1.0	1296	0	0	0.24464850059678375	656	0	0	0
1.0	1294	0	0	0.24107341833093465	710	0	0	0
1.0	1672	0	0	0.2936817190961806	808	0	0	0
1.0	1508	0	0	0.26432340551628947	732	0	0	0
1.0	2056	0	0	0.2677058267771427	710	0	0	0
1.0	1268	0	0	0.248148111864318	750	0	0	0
1.0	992	0	0	0.21588970916384628	688	0	0	0
1.0	2470	0	0	0.30467805619175803	782	0	0	0
1.0	1436	0	0	0.25691705318953867	714	0	0	0
1.0	1800	0	0	0.2912222786696986	828	0	0	0
1.0	2544	0	0	0.2979247082134743	780	0	0	0
1.0	1008	0	0	0.21695160248208412	706	0	0	0
1.0	2640	0	0	0.31436049909026914	828	0	0	0
1.0	2496	0	0	0.3008154710603863	798	0	0	0
1.0	974	0	0	0.2177640781897885	708	0	0	0
1.0	1790	0	0	0.2894248074843042	732	0	0	0
1.0	3706	0	0	0.3379439374011406	814	0	0	0
1.0	1592	0	0	0.2764352371114293	812	0	0	0
1.0	1636	0	0	0.28938678279364205	802	0	0	0
1.0	1432	0	0	0.2605524965722749	744	0	0	0
1.0	1248	0	0	0.2575064268361045	750	0	0	0
1.0	1056	0	0	0.22448100379380795	706	0	0	0
1.0	1352	0	0	0.28318282491798	786	0	0	0
1.0	1722	0	0	0.28489086360279964	792	0	0	0
1.0	1726	0	0	0.26177641189562645	730	0	0	0
1.0	922	0	0	0.20667478877029702	704	0	0	0
1.0	1008	0	0	0.22699834637598157	670	0	0	0
1.0	1132	0	0	0.21628825890892067	666	0	0	0
1.0	2220	0	0	0.29293952465360773	798	0	0	0
1.0	2034	0	0	0.2657147663303877	754	0	0	0
1.0	2340	0	0	0.29098809576258616	748	0	0	0
1.0	1096	0	0	0.24126449896682575	684	0	0	0
1.0	1534	0	0	0.2719725887114943	760	0	0	0
1.0	1552	0	0	0.27353381185917186	760	0	0	0
1.0	1374	0	0	0.25737753231069166	706	0	0	0
1.0	1698	0	0	0.2915875361763706	790	0	0	0
1.0	1104	0	0	0.23166008491029724	708	0	0	0
1.0	1828	0	0	0.2540813016096573	716	0	0	0
1.0	1292	0	0	0.25551221668007273	764	0	0	0
1.0	1064	0	0	0.23244132309730062	700	0	0	0
1.0	1134	0	0	0.23896355851476236	678	0	0	0
1.0	1858	0	0	0.29349629597965765	798	0	0	0
1.0	1234	0	0	0.2456815906279778	740	0	0	0
1.0	1560	0	0	0.26812412497908994	744	0	0	0
1.0	1544	0	0	0.27549190946079005	748	0	0	0
1.0	952	0	0	0.22463543516387824	668	0	0	0
1.0	1142	0	0	0.24173728867920766	694	0	0	0
1.0	2808	0	0	0.3091732625210599	784	0	0	0
1.0	962	0	0	0.22170686593769065	682	0	0	0
1.0	2166	0	0	0.28528717154852395	772	0	0	0
1.0	1604	0	0	0.2624432277254994	722	0	0	0
1.0	1224	0	0	0.25140887190997835	720	0	0	0
1.0	1470	0	0	0.2825591688454675	774	0	0	0
1.0	1080	0	0	0.2318753119339742	748	0	0	0
1.0	674	0	0	0.1729386913668473	642	0	0	0
1.0	1184	0	0	0.2555953603972151	684	0	0	0
1.0	3262	0	0	0.31974163878418094	806	0	0	0
1.0	1898	0	0	0.2861091801740003	754	0	0	0
1.0	748	0	0	0.19727791999196218	676	0	0	0
1.0	1728	0	0	0.23380445039960754	658	0	0	0
1.0	1536	0	0	0.24937059943360299	704	0	0	0
1.0	1086	0	0	0.23134445728740802	678	0	0	0
1.0	1188	0	0	0.241877983253807	714	0	0	0
1.0	2184	0	0	0.28189419135635363	738	0	0	0
1.0	1696	0	0	0.27750872351712697	796	0	0	0
1.0	686	0	0	0.1796367256778912	650	0	0	0
1.0	1716	0	0	0.276533084453418	734	0	0	0
