Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
0.96875	1224	0	0	0.29743578124395614	684	0	0	0
1.0	1286	0	0	0.3267142256490198	668	0	0	0
0.9375	914	0	0	0.27729097710243955	634	0	0	0
0.9765625	944	0	0	0.2638601867523439	646	0	0	0
0.984375	1204	0	0	0.2909329854101251	652	0	0	0
0.9375	1412	0	0	0.3265029508037474	684	0	0	0
0.953125	1190	0	0	0.3107160277312289	660	0	0	0
1.0	1582	0	0	0.3346121047506321	760	0	0	0
1.0	1418	0	0	0.31509535465395594	722	0	0	0
0.96875	1124	0	0	0.29550892676472174	668	0	0	0
0.9453125	1102	0	0	0.27700046643000925	682	0	0	0
0.953125	1156	0	0	0.30568294023351034	678	0	0	0
1.0	1204	0	0	0.28078424524521556	606	0	0	0
0.98828125	1280	0	0	0.30747283617189736	670	0	0	0
1.0	1772	0	0	0.31722178930926315	800	0	0	0
1.0	2430	0	0	0.3488143107820599	824	0	0	0
0.9296875	1074	0	0	0.3024552357811149	698	0	0	0
0.9375	2240	0	0	0.33705435103898895	774	0	0	0
0.9453125	1952	0	0	0.30509501432753766	708	0	0	0
0.9375	1132	0	0	0.29502201859759064	726	0	0	0
0.984375	2428	0	0	0.3350639796112407	782	0	0	0
0.96875	2538	0	0	0.35448627891337176	762	0	0	0
0.9765625	2296	0	0	0.3240341527891494	702	0	0	0
0.96875	2342	0	0	0.3308956228968537	736	0	0	0
1.0	1368	0	0	0.29944622599624127	740	0	0	0
0.9375	1818	0	0	0.30025545930367303	654	0	0	0
0.91796875	1372	0	0	0.32581602934471016	668	0	0	0
1.0	1062	0	0	0.28595789227676904	726	0	0	0
0.96484375	1294	0	0	0.3134621933476641	686	0	0	0
1.0	1824	0	0	0.32298403796529285	824	0	0	0
1.0	1692	0	0	0.31803784535341023	752	0	0	0
1.0	1582	0	0	0.32635727236640366	786	0	0	0
0.984375	1232	0	0	0.28873894369717207	724	0	0	0
0.96875	1166	0	0	0.2948430729876355	658	0	0	0
0.984375	1586	0	0	0.3187463338961504	748	0	0	0
0.9375	1074	0	0	0.29113744154301546	678	0	0	0
1.0	1902	0	0	0.30205957161638464	750	0	0	0
1.0	1234	0	0	0.3001614677992824	740	0	0	0
0.96875	1980	0	0	0.3264559403564295	646	0	0	0
0.984375	1150	0	0	0.3031687102862803	714	0	0	0
0.94140625	1290	0	0	0.30544864737356886	700	0	0	0
0.94140625	1276	0	0	0.29098026142483413	736	0	0	0
0.86328125	2358	0	0	0.3113768812687966	716	0	0	0
0.984375	1140	0	0	0.2868296779496193	660	0	0	0
0.9375	718	0	0	0.26186948464223553	580	0	0	0
1.0	1296	0	0	0.2960829207061293	726	0	0	0
0.9765625	2064	0	0	0.3146134412587066	756	0	0	0
0.96875	1470	0	0	0.3322095089349575	674	0	0	0
1.0	1622	0	0	0.3272998799893821	766	0	0	0
0.984375	1020	0	0	0.28780823530804756	626	0	0	0
0.96875	1672	0	0	0.33799179335862756	682	0	0	0
0.953125	1052	0	0	0.28353445294710894	702	0	0	0
0.96875	2214	0	0	0.3361674583278839	736	0	0	0
0.953125	2048	0	0	0.3218806001450805	652	0	0	0
0.96875	1448	0	0	0.3121181538704547	712	0	0	0
0.96875	1412	0	0	0.30522216556620896	738	0	0	0
0.890625	1088	0	0	0.2801684411980044	672	0	0	0
