Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	3114	0	0	0.30676581488897614	720	0	0	0.2693191076553236
1.0	2460	0	0	0.32556661059872716	798	0	0	0.32886826516289247
1.0	2030	0	0	0.2891498115291327	732	0	0	0.2787225633239657
1.0	2526	0	0	0.30659545875536437	768	0	0	0.20732554892407964
1.0	3712	0	0	0.3244240940601407	814	0	0	0.26402845996170204
1.0	2462	0	0	0.32247445333340535	662	0	0	0.2870197705481509
1.0	3600	0	0	0.34108237464996716	794	0	0	0.3157463211549504
1.0	1908	0	0	0.30972351407752224	694	0	0	0.25913030294890993
1.0	2608	0	0	0.33951002951763737	768	0	0	0.28234512549793217
1.0	1366	0	0	0.2901393393944811	672	0	0	0.2566321184021114
1.0	1890	0	0	0.3183741042424846	732	0	0	0.2731522609694367
1.0	2182	0	0	0.3337870671109922	750	0	0	0.2647291141854434
1.0	1964	0	0	0.2948720932407721	784	0	0	0.2705855620255095
1.0	1702	0	0	0.30111355377829657	744	0	0	0.258238291231032
1.0	2792	0	0	0.31063500521880877	794	0	0	0.2946802566452639
1.0	2414	0	0	0.311349096857779	748	0	0	0.28051624476387127
1.0	3100	0	0	0.3121096594337989	784	0	0	0.274204913614799
1.0	1776	0	0	0.3030628280333629	724	0	0	0.21676270800396194
1.0	1404	0	0	0.3063198955631171	724	0	0	0.1942130666422472
1.0	1956	0	0	0.3359743863246404	758	0	0	0.2719485951654259
1.0	3268	0	0	0.3275248202323166	782	0	0	0.26317223917857446
1.0	3032	0	0	0.34453460257561774	750	0	0	0.34237252795562034
1.0	2304	0	0	0.3151931176782016	718	0	0	0.2910962103422683
1.0	2578	0	0	0.3117495940083104	754	0	0	0.25929159039533956
1.0	2456	0	0	0.3169079388813591	770	0	0	0.2499910547042603
1.0	2316	0	0	0.31216403555637323	750	0	0	0.37783904373446214
1.0	1558	0	0	0.29677095263724523	706	0	0	0.2688450380111695
1.0	1812	0	0	0.32469567618549705	726	0	0	0.3026918667446704
1.0	3904	0	0	0.3280518036851354	744	0	0	0.3237061752762686
1.0	2144	0	0	0.31224446492124397	734	0	0	0.23267951112930704
1.0	2138	0	0	0.31564409616853595	764	0	0	0.24863036284094603
1.0	2748	0	0	0.3023369711355616	774	0	0	0.22559579537865831
1.0	4204	0	0	0.316742838451738	716	0	0	0.3077976579888708
1.0	3932	0	0	0.34259744638816264	780	0	0	0.30111323265689754
1.0	3274	0	0	0.3461872368186932	792	0	0	0.28139928715954693
1.0	1420	0	0	0.3275796326570114	722	0	0	0.2819168963349606
1.0	2522	0	0	0.30843347123471987	738	0	0	0.29603017910373775
1.0	2666	0	0	0.31766114557531333	770	0	0	0.26191251088596823
1.0	2234	0	0	0.32977315170395277	710	0	0	0.3516398651381585
1.0	2594	0	0	0.3278267856285873	788	0	0	0.2607561136840366
1.0	2378	0	0	0.30221519468619223	736	0	0	0.2924855702944801
1.0	1908	0	0	0.2976322195659235	738	0	0	0.31157204623886897
1.0	1972	0	0	0.3170699805601299	754	0	0	0.3283200416375414
1.0	2964	0	0	0.2982411936287545	756	0	0	0.3450410887925361
1.0	2498	0	0	0.31772388807999635	738	0	0	0.3240860607837326
1.0	3502	0	0	0.34450118179183375	812	0	0	0.31773066555437396
1.0	2220	0	0	0.34010442238567234	762	0	0	0.29943781697804644
1.0	2580	0	0	0.3079212961478151	716	0	0	0.2820443745810412
1.0	2210	0	0	0.2956054775877171	724	0	0	0.2645075228396461
1.0	2194	0	0	0.325006169873165	714	0	0	0.23743959615737043
1.0	2094	0	0	0.3085625210371808	784	0	0	0.2985465383033373
1.0	1870	0	0	0.31471396567460985	728	0	0	0.2505962247463408
1.0	3166	0	0	0.32236743384420596	738	0	0	0.2810993976916313
1.0	1952	0	0	0.31810628020824583	740	0	0	0.32175991807469917
1.0	3566	0	0	0.3522253317541886	738	0	0	0.2813352121841438
1.0	2180	0	0	0.33529726346962146	774	0	0	0.2877477892684091
1.0	2876	0	0	0.33749163105492674	784	0	0	0.29606590717083286
1.0	1564	0	0	0.29719716613489144	732	0	0	0.277637918475581
1.0	2542	0	0	0.3237534288311761	796	0	0	0.25254603872057524
1.0	4004	0	0	0.3263447097105395	772	0	0	0.25566751288149064
1.0	1956	0	0	0.29569240229394755	712	0	0	0.23454693768018103
1.0	1950	0	0	0.32697938086665546	700	0	0	0.28522699097766235
1.0	1852	0	0	0.32295540406657425	708	0	0	0.2995504359800346
1.0	2176	0	0	0.32318371838023063	790	0	0	0.3103945630344489
1.0	1774	0	0	0.3219225679286409	620	0	0	0.17782338491848745
1.0	4186	0	0	0.3222520365484356	704	0	0	0.27447726739902983
1.0	2084	0	0	0.3064540493295786	752	0	0	0.18925331901858838
1.0	3212	0	0	0.31023555350203613	750	0	0	0.29132987874527705
1.0	2548	0	0	0.320952468735861	812	0	0	0.2666534893835264
1.0	2998	0	0	0.33449615010496914	786	0	0	0.22531130004536368
1.0	2054	0	0	0.3046252414746672	754	0	0	0.2706570213293716
1.0	2284	0	0	0.28953663254514184	710	0	0	0.25517780433234155
1.0	3146	0	0	0.34599410159888316	772	0	0	0.2829299013794044
1.0	1574	0	0	0.2854045847558422	730	0	0	0.22335260044152874
1.0	2128	0	0	0.28745271232690517	718	0	0	0.3103052115361907
1.0	2204	0	0	0.3171497780201918	726	0	0	0.24149219473954603
1.0	2810	0	0	0.3260221607489033	746	0	0	0.21565766304418302
1.0	4842	0	0	0.3491708182990781	796	0	0	0.26625955245626215
1.0	2284	0	0	0.3358875069932404	774	0	0	0.2024330513934837
1.0	2712	0	0	0.31700009694482184	748	0	0	0.3334495226157546
1.0	2514	0	0	0.3290504209168673	752	0	0	0.28307471100471104
1.0	2356	0	0	0.30404598839202296	736	0	0	0.23204897863430923
1.0	3754	0	0	0.342640581672282	756	0	0	0.28626057612699896
1.0	3102	0	0	0.3284338861187101	766	0	0	0.3265550305985664
1.0	1928	0	0	0.317629943087069	750	0	0	0.2646615506158093
1.0	2794	0	0	0.3506797784983339	752	0	0	0.3250145026709326
1.0	3020	0	0	0.3378251467925074	796	0	0	0.2890560687253911
1.0	1936	0	0	0.3260496671617336	716	0	0	0.35269157043252103
1.0	2710	0	0	0.3121388186650379	728	0	0	0.30024654971656844
1.0	2186	0	0	0.3113556304436568	730	0	0	0.2940916233567697
1.0	2092	0	0	0.31741643490460136	778	0	0	0.2875637604113756
1.0	2118	0	0	0.31271771619236105	752	0	0	0.2849233389499871
1.0	3818	0	0	0.34923791753790917	786	0	0	0.25973662660542113
1.0	3472	0	0	0.3519036996704422	794	0	0	0.2543759113133282
1.0	1716	0	0	0.31522585169649564	708	0	0	0.23569192452742171
1.0	2358	0	0	0.32346425446834837	746	0	0	0.34401745994001437
1.0	2786	0	0	0.32861806165857316	718	0	0	0.2538108167090965
1.0	1616	0	0	0.3245846881134892	796	0	0	0.29731518993141337
1.0	2042	0	0	0.32277035585300845	702	0	0	0.2294099351508858
1.0	2016	0	0	0.3246226950548614	716	0	0	0.21350876558071885
1.0	2152	0	0	0.3161804322182905	698	0	0	0.305629874554302
1.0	2066	0	0	0.3042524028118335	708	0	0	0.25815928591528353
1.0	3404	0	0	0.33103959129846994	756	0	0	0.192401841184945
1.0	1968	0	0	0.3241719228507982	740	0	0	0.26028094767509286
1.0	2470	0	0	0.2921107402722282	708	0	0	0.30586756252095854
1.0	1982	0	0	0.3027247023316007	720	0	0	0.26641778162351565
1.0	3468	0	0	0.33242592404350346	758	0	0	0.3112767404866855
1.0	1814	0	0	0.3231014619324886	762	0	0	0.3091153652750504
1.0	1762	0	0	0.31900050955451364	768	0	0	0.25297231100686146
1.0	2248	0	0	0.3110111537721428	738	0	0	0.3045089226910085
1.0	2270	0	0	0.3053856520517512	762	0	0	0.3227961191105955
1.0	2674	0	0	0.3129759833524428	780	0	0	0.3180337323806752
1.0	1634	0	0	0.2821047738063517	704	0	0	0.2959753445455682
1.0	3568	0	0	0.33655882248338176	798	0	0	0.3446356506451766
1.0	3322	0	0	0.33937054893624957	776	0	0	0.26621380462408495
1.0	2088	0	0	0.3205519134832903	758	0	0	0.2710971083260637
1.0	3870	0	0	0.3299469674015022	766	0	0	0.2541488175257403
1.0	2526	0	0	0.3078445048106964	768	0	0	0.26832937965708165
1.0	2888	0	0	0.33614007579270394	770	0	0	0.32534635633576575
1.0	2260	0	0	0.3111869868391913	726	0	0	0.24751164707778758
1.0	3106	0	0	0.31747982189827534	754	0	0	0.2973683319597856
1.0	5012	0	0	0.3258160450311038	716	0	0	0.3118858867054306
1.0	2054	0	0	0.280525927299366	746	0	0	0.2017047807162777
1.0	1842	0	0	0.2976706777047739	676	0	0	0.25452764130608446
1.0	3552	0	0	0.3401576463907045	774	0	0	0.2764871885093179
1.0	1720	0	0	0.2955682482423625	690	0	0	0.25591267058274186
1.0	2110	0	0	0.32523862041200907	766	0	0	0.3158704612141139
1.0	2172	0	0	0.3247493540964625	760	0	0	0.2810266227852947
1.0	2466	0	0	0.31757812316908113	766	0	0	0.34423252139213356
1.0	2714	0	0	0.32682837137361775	812	0	0	0.2738725524564057
1.0	2926	0	0	0.325923220410712	802	0	0	0.274466973225118
1.0	2122	0	0	0.3009201829448386	714	0	0	0.2564340035530305
1.0	1600	0	0	0.32438071831663423	720	0	0	0.2637719462023725
1.0	2768	0	0	0.320825766337964	726	0	0	0.25331962061714286
1.0	1800	0	0	0.32333952669819543	690	0	0	0.25562617873105625
1.0	2208	0	0	0.3361082246425615	712	0	0	0.3148045807791682
1.0	2388	0	0	0.3249881426973977	724	0	0	0.2902113369768658
1.0	2636	0	0	0.35632025593257627	802	0	0	0.29975221638998806
1.0	2162	0	0	0.33398784495793826	744	0	0	0.2810125610311151
1.0	2262	0	0	0.3100424628985895	714	0	0	0.29994627171501975
