Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1650	0	0	0.2958666014140912	824	0	0	0.18326555873035874
1.0	3264	0	0	0.3281121769878174	830	0	0	0.23495845596932147
1.0	2206	0	0	0.289293840879721	740	0	0	0.22596648323404323
1.0	2934	0	0	0.3175854080632923	796	0	0	0.3099855275440619
1.0	2782	0	0	0.31988915305692495	856	0	0	0.3374382964430069
1.0	1886	0	0	0.3280009718225095	766	0	0	0.2350170865153654
1.0	4812	0	0	0.3349062801032218	770	0	0	0.3146364130509206
1.0	2016	0	0	0.28620189467320906	786	0	0	0.20127619024629723
1.0	4190	0	0	0.3379660162284233	816	0	0	0.32880378953079337
1.0	2582	0	0	0.3046634912202996	810	0	0	0.20175035896878465
1.0	4136	0	0	0.3388750633106835	804	0	0	0.2619834204346559
1.0	2354	0	0	0.3014010919021695	804	0	0	0.2554325759965865
1.0	1754	0	0	0.29680571423205715	752	0	0	0.21649011313350336
1.0	2420	0	0	0.32351838968103264	796	0	0	0.23865777586307546
1.0	3064	0	0	0.326697112560088	852	0	0	0.27017385547759437
1.0	3152	0	0	0.3214042040289399	884	0	0	0.2886569939824522
1.0	2462	0	0	0.30058762570677333	860	0	0	0.26113344136085825
1.0	3170	0	0	0.33083631827829796	794	0	0	0.2639093221825904
1.0	1896	0	0	0.31244596249491924	768	0	0	0.27969891287023907
1.0	2670	0	0	0.30318048797536595	846	0	0	0.2497888086721251
1.0	2446	0	0	0.32746829526014126	754	0	0	0.28576144409719334
1.0	2196	0	0	0.3066809908018207	824	0	0	0.2322813434878041
1.0	1796	0	0	0.32404936870873496	796	0	0	0.30602992780620103
1.0	2856	0	0	0.28623756901063063	794	0	0	0.2332923236865455
1.0	3110	0	0	0.3351847784109819	876	0	0	0.2981913012160315
1.0	2696	0	0	0.31489868914313873	796	0	0	0.25210615721333385
1.0	2744	0	0	0.3212191222452852	876	0	0	0.2816860029597878
1.0	4920	0	0	0.32185204929669553	868	0	0	0.21485198362712543
1.0	2058	0	0	0.3210127695295382	774	0	0	0.25928738949966107
1.0	4464	0	0	0.3197091537803986	862	0	0	0.2998696887853446
1.0	3574	0	0	0.3211047703449062	774	0	0	0.23740719475153774
1.0	6268	0	0	0.3431783451966406	824	0	0	0.3186396903219679
1.0	3186	0	0	0.3139856681320468	806	0	0	0.2385883745542673
1.0	2710	0	0	0.30868823850224764	828	0	0	0.2533117522529976
1.0	2368	0	0	0.3009878088698288	788	0	0	0.2014771349386392
1.0	2152	0	0	0.3253540043668238	818	0	0	0.20952197865348318
1.0	3784	0	0	0.3468346408780864	826	0	0	0.31484643282074787
1.0	1724	0	0	0.30573637864555564	760	0	0	0.3028548843860863
1.0	2932	0	0	0.33351086828673326	822	0	0	0.29191701276679216
1.0	3476	0	0	0.3143205032300519	794	0	0	0.2608822226956148
1.0	4188	0	0	0.3372762527755749	806	0	0	0.28201928063223236
1.0	2914	0	0	0.3247608036251166	806	0	0	0.23366004421139705
1.0	3148	0	0	0.3114606980127178	844	0	0	0.25536336395294623
1.0	1698	0	0	0.29955736768397706	782	0	0	0.2852124445477195
1.0	3256	0	0	0.3705707846490213	830	0	0	0.3414323025884585
1.0	3188	0	0	0.3230158224230126	824	0	0	0.2634130180762453
1.0	4176	0	0	0.31707268235301755	854	0	0	0.23407406501813752
1.0	1344	0	0	0.27812813752339244	720	0	0	0.22962215488527074
1.0	5172	0	0	0.33892550786779	860	0	0	0.2817215199051684
1.0	3100	0	0	0.292200409617324	828	0	0	0.27182011033590014
1.0	4244	0	0	0.3230641788954691	810	0	0	0.33322847861971117
1.0	2982	0	0	0.32844396389901714	782	0	0	0.2970471164997639
1.0	2018	0	0	0.269463500123727	778	0	0	0.2190818054494864
1.0	2286	0	0	0.28372476168027055	794	0	0	0.3294151770759847
1.0	3120	0	0	0.3397118454556761	778	0	0	0.30460904136015177
1.0	3872	0	0	0.3432483576698109	818	0	0	0.30146120491363637
1.0	1720	0	0	0.2908166302876105	796	0	0	0.29021949309901773
1.0	3800	0	0	0.3310237054509844	906	0	0	0.312422395411629
1.0	2052	0	0	0.30585248545667765	794	0	0	0.2130037085510939
1.0	3132	0	0	0.3281930945338233	864	0	0	0.25509581186774194
1.0	4202	0	0	0.3463048482713256	862	0	0	0.28436110821982785
1.0	4680	0	0	0.3317917302050156	816	0	0	0.32003888072580006
1.0	3022	0	0	0.31098698540153336	794	0	0	0.2490279755045446
1.0	2348	0	0	0.3421375551000079	840	0	0	0.3008625757919735
1.0	2292	0	0	0.30010215187750683	778	0	0	0.32746437662758354
1.0	5734	0	0	0.34592087374047115	896	0	0	0.2758997959439298
1.0	3612	0	0	0.3265076629242704	844	0	0	0.2865959627258514
1.0	3422	0	0	0.321800540160789	804	0	0	0.28715103121583785
1.0	2406	0	0	0.3097534350201482	780	0	0	0.18072745879285723
1.0	3476	0	0	0.32816461337954156	854	0	0	0.23351350321293188
1.0	2778	0	0	0.3102799466191698	878	0	0	0.32646955908862196
1.0	3156	0	0	0.33300636758995134	884	0	0	0.2805067028837582
1.0	1940	0	0	0.32622693978263917	810	0	0	0.20829084877804396
