Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	2502	0	0	0.3288228908690385	732	0	0	0
1.0	1904	0	0	0.3120203404508828	722	0	0	0
1.0	1586	0	0	0.28776628496284157	706	0	0	0
1.0	2824	0	0	0.33296680380417437	748	0	0	0
1.0	2208	0	0	0.31262085343855045	720	0	0	0
1.0	2256	0	0	0.3283894539511171	756	0	0	0
0.864406779661017	1912	0	0	0.3414043745298619	662	0	0	0
1.0	2712	0	0	0.31627691671004843	704	0	0	0
0.8516949152542372	2336	0	0	0.3106983815312596	616	0	0	0
1.0	3266	0	0	0.36523209412612784	746	0	0	0
1.0	3046	0	0	0.3643507762998079	778	0	0	0
1.0	1668	0	0	0.3034799337436473	696	0	0	0
1.0	3820	0	0	0.369801766441026	754	0	0	0
0.9491525423728814	2638	0	0	0.3221260875013484	724	0	0	0
1.0	2922	0	0	0.3101435996422336	728	0	0	0
1.0	2260	0	0	0.3358313551948322	774	0	0	0
1.0	4860	0	0	0.38043193929727365	782	0	0	0
1.0	1488	0	0	0.3017644775554768	730	0	0	0
0.8220338983050848	3128	0	0	0.35188757620872324	652	0	0	0
1.0	1932	0	0	0.3149485045020355	756	0	0	0
0.9661016949152542	2410	0	0	0.3379060636755728	742	0	0	0
1.0	3266	0	0	0.3642707479873206	756	0	0	0
1.0	2164	0	0	0.32220910984788936	670	0	0	0
1.0	1574	0	0	0.29299124389646536	694	0	0	0
1.0	2306	0	0	0.3363165200979229	734	0	0	0
1.0	1838	0	0	0.3123827483522747	788	0	0	0
0.9830508474576272	1660	0	0	0.3137546281575171	728	0	0	0
1.0	2484	0	0	0.34142944369973327	794	0	0	0
1.0	2914	0	0	0.35941301829249145	774	0	0	0
1.0	2032	0	0	0.3283197380107428	756	0	0	0
1.0	3314	0	0	0.3502964794158333	736	0	0	0
1.0	1982	0	0	0.32169104560393225	752	0	0	0
1.0	3354	0	0	0.3625644595931243	704	0	0	0
1.0	2288	0	0	0.3145870506417735	716	0	0	0
1.0	2844	0	0	0.3560849720519527	804	0	0	0
1.0	3426	0	0	0.3626941826395921	760	0	0	0
0.961864406779661	2192	0	0	0.31862057632804375	748	0	0	0
1.0	2622	0	0	0.3245914360930523	758	0	0	0
0.7923728813559322	1516	0	0	0.29005908329164415	516	0	0	0
1.0	3118	0	0	0.33824911052207474	728	0	0	0
1.0	3210	0	0	0.3528749415078669	810	0	0	0
1.0	2596	0	0	0.3521691945135755	746	0	0	0
1.0	2188	0	0	0.31994770985615534	726	0	0	0
0.847457627118644	1634	0	0	0.2852553727020105	608	0	0	0
0.9830508474576272	2052	0	0	0.31563498561764236	722	0	0	0
0.9661016949152542	2856	0	0	0.3417883479162475	712	0	0	0
1.0	2128	0	0	0.3077415888665861	738	0	0	0
1.0	2716	0	0	0.3391671468784799	768	0	0	0
1.0	3440	0	0	0.3327654088835156	714	0	0	0
1.0	2166	0	0	0.34298746118948126	756	0	0	0
1.0	3484	0	0	0.3350913708839991	700	0	0	0
0.9830508474576272	4200	0	0	0.3833985922123121	762	0	0	0
1.0	3080	0	0	0.3481803773479448	798	0	0	0
1.0	2534	0	0	0.327065123298063	802	0	0	0
0.8940677966101696	2068	0	0	0.32296333705952157	678	0	0	0
0.9830508474576272	2890	0	0	0.3198313972984555	682	0	0	0
1.0	1810	0	0	0.31027713317984307	750	0	0	0
1.0	2032	0	0	0.32709727300911223	744	0	0	0
1.0	2606	0	0	0.3307710935166487	690	0	0	0
1.0	1862	0	0	0.3305384547830451	732	0	0	0
1.0	2388	0	0	0.35051810041829723	804	0	0	0
1.0	2710	0	0	0.34657501870238455	792	0	0	0
0.9661016949152542	1638	0	0	0.28989754325140904	748	0	0	0
1.0	2266	0	0	0.3366605010340429	790	0	0	0
0.847457627118644	3542	0	0	0.3024111687731921	614	0	0	0
1.0	2386	0	0	0.345891389895798	752	0	0	0
1.0	2916	0	0	0.33469630857749627	750	0	0	0
1.0	1842	0	0	0.3021461870124638	716	0	0	0
1.0	2968	0	0	0.3408958251870321	730	0	0	0
1.0	2356	0	0	0.3053772827532481	716	0	0	0
1.0	4454	0	0	0.34005804529002454	770	0	0	0
1.0	2242	0	0	0.3285946762987188	696	0	0	0
1.0	1974	0	0	0.30839275728153864	742	0	0	0
1.0	2394	0	0	0.3354648946118387	774	0	0	0
1.0	2736	0	0	0.35334657478849285	796	0	0	0
0.9830508474576272	1872	0	0	0.2970347956609493	736	0	0	0
1.0	3024	0	0	0.35555169980888796	716	0	0	0
1.0	1234	0	0	0.2676913375089999	690	0	0	0
1.0	3056	0	0	0.337314578955963	718	0	0	0
1.0	1810	0	0	0.29716017051864885	718	0	0	0
1.0	1894	0	0	0.3031869345903964	738	0	0	0
1.0	3480	0	0	0.3533144278721431	768	0	0	0
1.0	2896	0	0	0.3537858471822252	776	0	0	0
1.0	2346	0	0	0.29522204874141444	670	0	0	0
0.940677966101695	2316	0	0	0.35326494879000286	732	0	0	0
1.0	2730	0	0	0.3450825312996192	732	0	0	0
1.0	2000	0	0	0.3082746495657264	698	0	0	0
0.9830508474576272	2686	0	0	0.3446093574740333	708	0	0	0
1.0	1714	0	0	0.27852750324801023	672	0	0	0
1.0	3480	0	0	0.34455334556548917	774	0	0	0
0.9745762711864406	3396	0	0	0.3752646205168531	806	0	0	0
1.0	1416	0	0	0.27878918539002123	708	0	0	0
1.0	2304	0	0	0.3196255383827218	732	0	0	0
0.961864406779661	1586	0	0	0.29931164320786086	718	0	0	0
1.0	1844	0	0	0.30944277940564086	674	0	0	0
1.0	3130	0	0	0.30188007564873237	668	0	0	0
1.0	1764	0	0	0.3191481080808855	754	0	0	0
1.0	2136	0	0	0.3238862140936972	772	0	0	0
1.0	2084	0	0	0.33627950311086247	760	0	0	0
1.0	1818	0	0	0.3062186751784572	750	0	0	0
1.0	1530	0	0	0.2758822684432456	674	0	0	0
1.0	2226	0	0	0.2915478295021224	690	0	0	0
1.0	2564	0	0	0.33898864471363344	750	0	0	0
0.9830508474576272	2018	0	0	0.3184809803045823	750	0	0	0
1.0	1694	0	0	0.3105584164568406	716	0	0	0
1.0	3186	0	0	0.3458736072041812	772	0	0	0
1.0	2152	0	0	0.34120884672251944	786	0	0	0
0.9322033898305084	2854	0	0	0.34099375378235414	700	0	0	0
0.961864406779661	2230	0	0	0.3317149864595569	718	0	0	0
0.961864406779661	1896	0	0	0.31513382355928876	678	0	0	0
1.0	2390	0	0	0.32506619910393214	694	0	0	0
1.0	2216	0	0	0.3138423307398865	748	0	0	0
1.0	3006	0	0	0.33768893057799165	754	0	0	0
1.0	1934	0	0	0.30905664043079806	744	0	0	0
1.0	3368	0	0	0.3666310723410912	804	0	0	0
1.0	2154	0	0	0.3288336025501076	730	0	0	0
1.0	2092	0	0	0.32378208228342237	736	0	0	0
1.0	2760	0	0	0.3284332362220998	778	0	0	0
0.961864406779661	1548	0	0	0.3025766165113424	644	0	0	0
1.0	3680	0	0	0.37376975230480486	766	0	0	0
1.0	2598	0	0	0.3313613263313707	776	0	0	0
1.0	2446	0	0	0.3405028879477201	712	0	0	0
1.0	2156	0	0	0.3241574019913775	766	0	0	0
1.0	3924	0	0	0.3665488025034322	790	0	0	0
1.0	2208	0	0	0.328162480656105	782	0	0	0
1.0	2238	0	0	0.3215122662857634	758	0	0	0
1.0	2258	0	0	0.3277623942301207	710	0	0	0
0.9322033898305084	2058	0	0	0.3120340805896715	648	0	0	0
1.0	2386	0	0	0.2987122437293524	714	0	0	0
1.0	2664	0	0	0.34719037892769244	762	0	0	0
1.0	1676	0	0	0.2893390922678621	728	0	0	0
1.0	1780	0	0	0.3063716457612371	706	0	0	0
1.0	2994	0	0	0.34580706329342104	776	0	0	0
1.0	2436	0	0	0.31720191997729125	772	0	0	0
1.0	2030	0	0	0.3111424422963788	666	0	0	0
1.0	3296	0	0	0.34313131780936085	780	0	0	0
1.0	2410	0	0	0.33405947971305516	764	0	0	0
1.0	2620	0	0	0.3323239592676041	714	0	0	0
1.0	1864	0	0	0.29228778866407573	706	0	0	0
1.0	3364	0	0	0.37154503590683224	752	0	0	0
1.0	1830	0	0	0.30433206645160776	770	0	0	0
1.0	3906	0	0	0.35858092728002705	770	0	0	0
1.0	1744	0	0	0.2946714516597603	740	0	0	0
1.0	1838	0	0	0.3067809867062672	746	0	0	0
0.961864406779661	1472	0	0	0.2703368238973928	646	0	0	0
1.0	2234	0	0	0.32604075853985137	750	0	0	0
0.9830508474576272	2346	0	0	0.32505906756961195	732	0	0	0
0.961864406779661	3494	0	0	0.361106487735573	738	0	0	0
1.0	1760	0	0	0.303805320454836	708	0	0	0
1.0	2044	0	0	0.31644526957491975	748	0	0	0
0.9830508474576272	2682	0	0	0.33698848232931966	752	0	0	0
1.0	2528	0	0	0.3208892812929094	714	0	0	0
1.0	2412	0	0	0.3127581732430942	698	0	0	0
1.0	3084	0	0	0.356870517360492	798	0	0	0
1.0	1336	0	0	0.28188027668006665	712	0	0	0
1.0	3046	0	0	0.3608126318507641	810	0	0	0
1.0	2246	0	0	0.31903051256083326	764	0	0	0
1.0	3134	0	0	0.36496436441670904	800	0	0	0
1.0	3158	0	0	0.3273869427268511	772	0	0	0
0.728813559322034	1856	0	0	0.3490965737604124	564	0	0	0
1.0	2900	0	0	0.328220079415125	710	0	0	0
1.0	2282	0	0	0.3279099587368751	754	0	0	0
1.0	2532	0	0	0.33425494572848735	778	0	0	0
1.0	1998	0	0	0.31348796663179057	770	0	0	0
1.0	4898	0	0	0.38555109498604606	754	0	0	0
1.0	2752	0	0	0.35320132923223857	708	0	0	0
1.0	2278	0	0	0.33640343400917344	802	0	0	0
1.0	3024	0	0	0.34017011013617865	780	0	0	0
1.0	3034	0	0	0.32109154288837505	738	0	0	0
1.0	2824	0	0	0.34148897959834434	750	0	0	0
1.0	2080	0	0	0.3146914021344274	748	0	0	0
1.0	2786	0	0	0.3487224381354664	738	0	0	0
1.0	2098	0	0	0.29590030156536573	660	0	0	0
1.0	2088	0	0	0.3340955591181277	736	0	0	0
1.0	2130	0	0	0.32980342534782187	762	0	0	0
1.0	2304	0	0	0.32736200704252716	732	0	0	0
1.0	1888	0	0	0.30941178238784994	712	0	0	0
1.0	1640	0	0	0.28027237107943015	708	0	0	0
1.0	1372	0	0	0.2861814082135883	710	0	0	0
1.0	2630	0	0	0.31152229188668756	680	0	0	0
1.0	4222	0	0	0.3782606865360783	780	0	0	0
1.0	1620	0	0	0.296389217840464	762	0	0	0
0.9745762711864406	1740	0	0	0.3059416976535888	668	0	0	0
1.0	1952	0	0	0.3269229628802527	734	0	0	0
1.0	1968	0	0	0.33015659326922003	740	0	0	0
0.9449152542372882	2892	0	0	0.3611586845613401	696	0	0	0
0.940677966101695	2100	0	0	0.33589196949008054	718	0	0	0
1.0	2818	0	0	0.32126784189390467	692	0	0	0
1.0	2720	0	0	0.3501727490827486	750	0	0	0
1.0	3202	0	0	0.3504588845281329	758	0	0	0
1.0	1882	0	0	0.3170053966920252	772	0	0	0
1.0	2170	0	0	0.31862435790250315	696	0	0	0
0.9152542372881356	1538	0	0	0.2891825848704038	656	0	0	0
0.8728813559322034	1836	0	0	0.3329461302930011	650	0	0	0
