Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	4050	0	0	0.3505767961276363	844	0	0	0
1.0	2056	0	0	0.302106128032296	802	0	0	0
1.0	3066	0	0	0.36248656177007316	854	0	0	0
1.0	2760	0	0	0.3281062169132594	774	0	0	0
1.0	4144	0	0	0.3637682348529329	828	0	0	0
1.0	3334	0	0	0.34159470215150534	844	0	0	0
1.0	2000	0	0	0.3002243910799697	762	0	0	0
1.0	1872	0	0	0.312779647920127	838	0	0	0
1.0	4236	0	0	0.3724780014642062	850	0	0	0
1.0	2852	0	0	0.32029724256514763	774	0	0	0
1.0	1830	0	0	0.29542391951624175	788	0	0	0
1.0	2872	0	0	0.34499319521728394	874	0	0	0
0.921875	2034	0	0	0.32237794051136853	798	0	0	0
1.0	2612	0	0	0.3418066076417182	850	0	0	0
1.0	3062	0	0	0.35939611589291015	844	0	0	0
1.0	4122	0	0	0.3546628703402438	822	0	0	0
1.0	5556	0	0	0.38253622392541625	838	0	0	0
1.0	2762	0	0	0.3381070014702665	832	0	0	0
1.0	3126	0	0	0.3355419260267682	810	0	0	0
1.0	2760	0	0	0.3390866222434036	796	0	0	0
1.0	2310	0	0	0.28623548090271933	724	0	0	0
1.0	2450	0	0	0.32586946889983065	868	0	0	0
1.0	4548	0	0	0.35489060850995485	860	0	0	0
1.0	2784	0	0	0.33834686451623996	796	0	0	0
1.0	2214	0	0	0.310496115239744	766	0	0	0
1.0	3330	0	0	0.3712363630363427	834	0	0	0
0.984375	3518	0	0	0.3227392485103897	774	0	0	0
1.0	2256	0	0	0.29093655634762383	782	0	0	0
1.0	3098	0	0	0.3488832095619174	814	0	0	0
0.984375	1960	0	0	0.297190795257965	804	0	0	0
1.0	5434	0	0	0.3500441807053609	816	0	0	0
1.0	3260	0	0	0.36445875343549344	868	0	0	0
1.0	3234	0	0	0.3604201814425368	830	0	0	0
1.0	2614	0	0	0.3349176313946466	790	0	0	0
1.0	3976	0	0	0.3618131858082247	828	0	0	0
1.0	2626	0	0	0.34085629701135	834	0	0	0
1.0	3266	0	0	0.3486649191471177	876	0	0	0
1.0	2908	0	0	0.32146578801782316	762	0	0	0
1.0	2650	0	0	0.3257622163602147	766	0	0	0
1.0	2138	0	0	0.3155357064367347	794	0	0	0
1.0	1914	0	0	0.3092632903343337	816	0	0	0
1.0	1870	0	0	0.3010432677997445	818	0	0	0
1.0	2208	0	0	0.3127544193661464	798	0	0	0
1.0	4208	0	0	0.36658490545323524	800	0	0	0
1.0	3144	0	0	0.34080590287649004	778	0	0	0
1.0	2638	0	0	0.30794142771849037	798	0	0	0
1.0	1996	0	0	0.296707834706254	768	0	0	0
1.0	2392	0	0	0.33132552577020213	792	0	0	0
1.0	3300	0	0	0.3363957605735315	810	0	0	0
1.0	2412	0	0	0.32160369603859623	790	0	0	0
1.0	3000	0	0	0.3586642816190717	846	0	0	0
1.0	3642	0	0	0.3572504472628143	856	0	0	0
1.0	2416	0	0	0.32698011494910123	820	0	0	0
1.0	3516	0	0	0.37828326284152763	866	0	0	0
1.0	2840	0	0	0.32384718300859944	792	0	0	0
1.0	2692	0	0	0.3448221725735481	852	0	0	0
1.0	2498	0	0	0.30946829589333946	770	0	0	0
1.0	2744	0	0	0.3244209626504718	764	0	0	0
1.0	4270	0	0	0.34221358736844676	780	0	0	0
0.8828125	4542	0	0	0.3590841101952121	746	0	0	0
1.0	3906	0	0	0.3474122231846385	816	0	0	0
1.0	2170	0	0	0.30455456866372377	776	0	0	0
1.0	2336	0	0	0.32876060047453887	820	0	0	0
1.0	1700	0	0	0.29888443428767303	794	0	0	0
1.0	2204	0	0	0.3275276741385435	830	0	0	0
1.0	1460	0	0	0.24621095361009135	678	0	0	0
1.0	2608	0	0	0.32940984823425934	844	0	0	0
1.0	3596	0	0	0.3543691590740637	840	0	0	0
1.0	3286	0	0	0.33445150940361823	812	0	0	0
1.0	4422	0	0	0.3625716302787065	850	0	0	0
1.0	2166	0	0	0.3174460188794794	834	0	0	0
1.0	4220	0	0	0.3465990029229495	816	0	0	0
1.0	1806	0	0	0.2750142866084813	776	0	0	0
1.0	2426	0	0	0.3143594944696684	762	0	0	0
1.0	3270	0	0	0.33819927960443397	812	0	0	0
1.0	3252	0	0	0.358331294433051	832	0	0	0
1.0	2684	0	0	0.32664656955964644	814	0	0	0
0.9375	2174	0	0	0.32757083925539	766	0	0	0
1.0	2092	0	0	0.30825942136439644	786	0	0	0
1.0	2602	0	0	0.32557675229853306	794	0	0	0
1.0	2974	0	0	0.34060220628519167	748	0	0	0
1.0	3294	0	0	0.3421097697197019	820	0	0	0
1.0	2678	0	0	0.3503024710867395	814	0	0	0
1.0	3244	0	0	0.3477279835416951	882	0	0	0
1.0	2320	0	0	0.32598459402627017	822	0	0	0
1.0	3306	0	0	0.3349716756573441	816	0	0	0
1.0	3192	0	0	0.3407802957011162	856	0	0	0
1.0	2302	0	0	0.3273957971452743	794	0	0	0
1.0	3122	0	0	0.3542991999419186	790	0	0	0
1.0	2092	0	0	0.2975128630571577	820	0	0	0
1.0	1620	0	0	0.2765859842503677	770	0	0	0
1.0	3026	0	0	0.3431896769037406	796	0	0	0
1.0	3188	0	0	0.34975068363201073	878	0	0	0
1.0	3198	0	0	0.35188211878339737	818	0	0	0
1.0	2242	0	0	0.2860299166117095	752	0	0	0
1.0	2102	0	0	0.3143342889689523	816	0	0	0
1.0	3318	0	0	0.32355675411541734	782	0	0	0
1.0	3056	0	0	0.3321921119497399	776	0	0	0
1.0	3132	0	0	0.34764904862518	870	0	0	0
1.0	2090	0	0	0.3133443679352442	836	0	0	0
1.0	2140	0	0	0.30883445389042746	790	0	0	0
1.0	3026	0	0	0.3304822492107112	814	0	0	0
1.0	3170	0	0	0.34510766768610257	800	0	0	0
1.0	5078	0	0	0.3832142481189357	842	0	0	0
1.0	3516	0	0	0.3489532598916854	838	0	0	0
1.0	2138	0	0	0.31485288985805726	806	0	0	0
1.0	3062	0	0	0.3462827996874902	794	0	0	0
1.0	2202	0	0	0.29423334645796295	772	0	0	0
1.0	2906	0	0	0.3647552660913326	818	0	0	0
1.0	2596	0	0	0.3214556754930712	834	0	0	0
1.0	3276	0	0	0.36429307507752146	844	0	0	0
1.0	2496	0	0	0.3219674966656228	848	0	0	0
1.0	3296	0	0	0.33644265895536296	840	0	0	0
1.0	1660	0	0	0.28496736696549385	820	0	0	0
0.96875	2830	0	0	0.32311397631079414	774	0	0	0
1.0	3454	0	0	0.3445405325093822	816	0	0	0
1.0	2980	0	0	0.3369308711605978	836	0	0	0
1.0	4166	0	0	0.34816066167114446	804	0	0	0
1.0	2304	0	0	0.3065095997818081	772	0	0	0
1.0	1568	0	0	0.28431784347154276	742	0	0	0
1.0	2660	0	0	0.35043064082538355	794	0	0	0
1.0	1854	0	0	0.3057988913338549	788	0	0	0
1.0	5304	0	0	0.38391500808816686	860	0	0	0
1.0	2310	0	0	0.3258000504069773	852	0	0	0
1.0	2782	0	0	0.32874089216024543	822	0	0	0
1.0	1930	0	0	0.29407065122362563	758	0	0	0
0.984375	3722	0	0	0.3677272046193916	860	0	0	0
1.0	5356	0	0	0.3593545918607974	848	0	0	0
1.0	2718	0	0	0.3070827741586657	778	0	0	0
1.0	2418	0	0	0.31082885012581585	808	0	0	0
1.0	2010	0	0	0.30068602962904234	804	0	0	0
1.0	2388	0	0	0.32727848506116386	782	0	0	0
