Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	1454	0	0	0.2966310620250695	632	0	0	0
0.837962962962963	1764	0	0	0.3034229404057503	556	0	0	0
0.9027777777777778	1728	0	0	0.31695442796785733	568	0	0	0
0.7592592592592593	1320	0	0	0.28874934726404144	494	0	0	0
1.0	1858	0	0	0.3051494942220999	672	0	0	0
1.0	1632	0	0	0.29416549769424266	674	0	0	0
0.8842592592592593	1106	0	0	0.24781278371380075	578	0	0	0
1.0	2016	0	0	0.32664937448770975	740	0	0	0
1.0	1702	0	0	0.308834803981068	700	0	0	0
1.0	2440	0	0	0.3518965072256513	678	0	0	0
1.0	1616	0	0	0.28214857305314556	618	0	0	0
1.0	1964	0	0	0.3187799268289517	668	0	0	0
1.0	4568	0	0	0.36773404513017827	688	0	0	0
1.0	1768	0	0	0.32278247730089726	690	0	0	0
1.0	1754	0	0	0.3167109908286553	640	0	0	0
0.9722222222222222	2892	0	0	0.3425506872211874	672	0	0	0
1.0	2466	0	0	0.3384145061620343	660	0	0	0
1.0	1840	0	0	0.29571902198451555	668	0	0	0
1.0	1164	0	0	0.277594451171952	632	0	0	0
0.9027777777777778	1632	0	0	0.30831685335447645	624	0	0	0
1.0	1410	0	0	0.26575581019841127	642	0	0	0
0.9722222222222222	1854	0	0	0.33694261505516654	696	0	0	0
1.0	1754	0	0	0.29919628922800523	674	0	0	0
1.0	2022	0	0	0.32427017310034445	672	0	0	0
1.0	2534	0	0	0.33943835987490667	712	0	0	0
0.8703703703703703	2092	0	0	0.31639387458147183	584	0	0	0
1.0	1932	0	0	0.3171210494144005	648	0	0	0
0.9537037037037037	1800	0	0	0.3428902519489306	654	0	0	0
0.9814814814814815	1928	0	0	0.3179267945911606	646	0	0	0
0.962962962962963	1842	0	0	0.2974502721998262	646	0	0	0
1.0	2048	0	0	0.33503337672045214	696	0	0	0
1.0	1910	0	0	0.299556101560304	672	0	0	0
0.9583333333333334	2110	0	0	0.33168324280235356	590	0	0	0
0.9814814814814815	2152	0	0	0.3221836480362878	692	0	0	0
0.9583333333333334	1646	0	0	0.29427841158088264	646	0	0	0
1.0	1550	0	0	0.2986214432344054	640	0	0	0
1.0	2478	0	0	0.33512553623844965	670	0	0	0
1.0	2420	0	0	0.3187921773215696	646	0	0	0
0.962962962962963	3502	0	0	0.37131865411020937	658	0	0	0
0.9027777777777778	1916	0	0	0.3328516457817207	628	0	0	0
1.0	2466	0	0	0.33096837700250564	666	0	0	0
0.9027777777777778	1900	0	0	0.2878543834946766	604	0	0	0
0.9305555555555556	1410	0	0	0.2762372553720153	600	0	0	0
1.0	2332	0	0	0.3131838670989132	666	0	0	0
1.0	2074	0	0	0.3166875588236883	670	0	0	0
1.0	2670	0	0	0.34091719469876025	700	0	0	0
1.0	2274	0	0	0.3215422231718938	624	0	0	0
0.912037037037037	1908	0	0	0.3173283991231288	616	0	0	0
1.0	3088	0	0	0.35142231206877156	714	0	0	0
1.0	2100	0	0	0.33372717780075595	664	0	0	0
1.0	1286	0	0	0.2714439197962056	626	0	0	0
1.0	1218	0	0	0.27053565918172645	626	0	0	0
1.0	1626	0	0	0.2903317601818289	644	0	0	0
0.7546296296296297	1528	0	0	0.30892301920035103	448	0	0	0
0.9583333333333334	1530	0	0	0.2841615597358913	658	0	0	0
0.7592592592592593	1680	0	0	0.324596351971149	534	0	0	0
1.0	2174	0	0	0.3353245075335415	682	0	0	0
1.0	2384	0	0	0.3274940189348218	662	0	0	0
0.9814814814814815	1598	0	0	0.3221146126389343	688	0	0	0
1.0	1386	0	0	0.28502899263208764	634	0	0	0
1.0	1648	0	0	0.3096410827222679	650	0	0	0
0.9814814814814815	3312	0	0	0.34752471276748337	684	0	0	0
0.9583333333333334	1410	0	0	0.26617687675871515	592	0	0	0
0.9814814814814815	2394	0	0	0.3507779788885721	674	0	0	0
1.0	2242	0	0	0.31471441780740345	666	0	0	0
0.9814814814814815	3108	0	0	0.32290031471553665	642	0	0	0
1.0	2736	0	0	0.33189033778942834	704	0	0	0
1.0	1644	0	0	0.30523622887725704	640	0	0	0
1.0	1260	0	0	0.29665018247373504	684	0	0	0
1.0	1634	0	0	0.3008756811913457	676	0	0	0
1.0	2588	0	0	0.3244678086328615	662	0	0	0
