Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	131592	0.031079556012498663	0.030608809396480734	0.33061079753089656	6746	0.12774167057793784	0.08232940608127474	0.19166794596424785
1.0	105678	0.028768104994097085	0.02855278290077368	0.30823578941052926	6660	0.01499674056786126	0.017905603635091246	0.2070861349281785
1.0	253400	0.28696700040989104	0.286908952327955	0.35663604141569194	6926	0.12219737002680069	0.1544737597486116	0.2117800029677955
1.0	80274	0.2549880576975879	0.25632309229826633	0.2750566588306334	6214	0.09164091721677957	0.07430691110789794	0.20852008385565415
1.0	77084	0.011511443263516663	0.011809084072608802	0.28528359060932335	6308	0.06349019631501696	0.037642496446410545	0.2174102166925892
1.0	170430	0.008158830587854805	0.00831187835935841	0.3191769889939366	6534	0.009852943069681321	0.009157288192438839	0.1894202180936988
1.0	90988	0.010777919435102043	0.010468602598986604	0.28530312846961076	6548	0.043385838753907655	0.06713129276717805	0.2021866714865738
1.0	71378	0.0894162157434263	0.08944396951352976	0.2903478519859696	6536	0.1281113148266779	0.13480750938003294	0.1946570674203647
1.0	156838	0.37922249188071105	0.38173882886785165	0.30505701461451107	6708	0.11443714289887123	0.15699426256363178	0.19773236095699506
1.0	90160	0.22279029435859918	0.22296174682052203	0.29337625015525504	6516	0.1120285633192671	0.12962617040717853	0.20475744449652886
1.0	159452	0.09595388197698751	0.09582855573784094	0.3108853044660555	6730	0.0752094348203365	0.06981470792760515	0.19874180175314074
1.0	103968	0.1655679311829687	0.1654195349490588	0.29711215325170387	6376	0.11427435642296865	0.10790992477809566	0.20262671196260504
1.0	79758	0.31624535672364723	0.3184200954252453	0.2904386549102796	6112	0.11396945233341729	0.1250780823198969	0.17578667363282882
1.0	85502	0.022335828689881633	0.02187172971924162	0.2820440032954449	6516	0.023964533730158732	0.021952883979520693	0.21421754818884775
1.0	184934	0.3578410706529162	0.3585537501226677	0.3216607908084474	6760	0.1345074536073477	0.16388139042016092	0.1951705018176201
1.0	179520	0.39134466155800723	0.3923046745962508	0.3330648176529342	6750	0.11085378767388453	0.11839907960121906	0.21321301848809496
1.0	68188	0.02268670333314097	0.021023017400747208	0.28186336092701425	5844	0.03136230028919547	0.05890286246612466	0.1908508976301926
1.0	86038	0.006168724841790232	0.005851566969298928	0.29258463829248316	6632	0.028233376095711762	0.03702464293747189	0.2108329873571808
1.0	53314	0.029725299804436785	0.029819310939641845	0.266552435007315	6050	0.047505792089563105	0.07976058135704875	0.20917973907374476
1.0	85402	0.12055426268690744	0.12017498081844581	0.28305008361390976	6292	0.12328784293121309	0.1454664797606608	0.2116324390629721
1.0	85380	0.013344321368285204	0.013866413467447835	0.29313237900198025	6548	0.023343418246652606	0.010427000278989178	0.19878177050097603
1.0	147434	0.28093558826500875	0.2825887219332444	0.2997732275859138	6406	0.11198388187765632	0.14568377544441377	0.20158097025594834
1.0	131216	0.009027464248264406	0.008861115871481775	0.2930740300334822	6280	0.050845567902656416	0.03017800195314293	0.19369968023397047
1.0	87082	0.02467924121401354	0.02529816631653349	0.2978604851212017	6540	0.03559298088013836	0.0180550763573207	0.1976643638181099
1.0	88238	0.03027489502919077	0.03093354364514807	0.29965603397912705	6178	0.0872522648238606	0.08247469087929615	0.18854872788880495
1.0	56558	0.01966670925494405	0.017200815400030794	0.27071923871703946	6534	0.01694744318181818	0.01656294138418079	0.18343340459595384
1.0	144038	0.42388835036367223	0.4256678578298803	0.2940805916013207	6828	0.12863412829348708	0.1623743458477272	0.18892430175504638
1.0	110646	0.14164721903016747	0.14180101116191526	0.30486591975842053	6494	0.14968409751568598	0.13300838343137827	0.20318888057688736
1.0	62382	0.008576195245785609	0.008362550790699273	0.265713280964313	5894	0.05374295045322178	0.03022000976964212	0.20094496419763855
1.0	110288	0.006726481943714317	0.006482528967868554	0.30713411068203134	6336	0.05637472095342623	0.05631092741738861	0.1847432566620487
1.0	163810	0.05928402061733684	0.05994398622857434	0.3126043200739841	6630	0.06764917166597495	0.08236673313099944	0.21195405787716745
1.0	65772	0.004858610136875066	0.0052124308382435185	0.2750136048093101	6338	0.059474419915664656	0.05936134661192252	0.18366265516731015
1.0	218920	0.22671974324224523	0.22575847208779448	0.3634115255045561	7110	0.1687091978020131	0.21558619317271008	0.20239339518001645
1.0	89764	0.11001350811979038	0.10908022741901818	0.2797981581607118	5834	0.07867923684625365	0.06091498943940384	0.2108430858198047
1.0	106560	0.007427687518565405	0.007581343960054057	0.3104509266966857	6456	0.022863393141745295	0.03417715484363081	0.21020636259415026
1.0	75876	0.07263544160766423	0.07520546856873404	0.2736568407930035	6050	0.10777532596193579	0.15101179202741705	0.19446845381051167
1.0	227324	0.10993689537419722	0.11051302150258763	0.35431260795865405	6984	0.07381601039483279	0.08543810447250604	0.22161741217161116
1.0	189248	0.26608580438714285	0.2640668008344335	0.32480404493589893	6906	0.11491572851036361	0.15973114620999546	0.1962618937310684
1.0	104420	0.0144307633026696	0.014162342982504038	0.31249103550504964	6610	0.03343037551429156	0.028216340884179757	0.19902187279823846
1.0	79898	0.0033661900058609947	0.0030808937948422228	0.2810290888315747	6046	0.003199688532926519	0.006047375557165756	0.1963543349303929
1.0	175136	0.07884123478456309	0.08039230780728977	0.3206169305340622	6868	0.10854382419933974	0.15990361479250836	0.1960383065263076
1.0	180692	0.14187878124268288	0.14153485207549718	0.32854290059008834	6650	0.13418880130798574	0.18426122814325355	0.20659033326381684
1.0	82994	0.05594375611557244	0.05470220796287583	0.31076739225761546	6466	0.1094586304418099	0.11345568725094057	0.1923172083264475
1.0	54892	0.005653185854924378	0.00550902377142495	0.27385041953098194	5842	0.025575759159600704	0.020511033463336093	0.18787476923150456
1.0	92326	0.08168352626224723	0.08350512525523332	0.29134603719338426	6782	0.08381600756841617	0.08953654961401811	0.19815633123434104
1.0	63284	0.045042401414630485	0.046996557842716245	0.29050251335908567	6294	0.06582378167585495	0.09870956249632717	0.19645566860146557
1.0	218328	0.06988350371948399	0.07072790462646829	0.3278550672182901	6594	0.10165750578201002	0.129657605442138	0.20075278508966876
1.0	59136	0.02350494328318699	0.02402279803060562	0.28732876227168025	5974	0.02993012422360248	0.03781702898550725	0.199905558692568
1.0	145796	0.0022112295658030007	0.0021646591232685783	0.28437433759128555	6296	0.022185293976278882	0.01362542118296594	0.19179833257290388
1.0	98546	0.10886885716739494	0.10747338131709729	0.2989673987363571	6362	0.08016733898760053	0.08397028249910364	0.1768722232037947
1.0	215014	0.0514235116544231	0.05101041869232561	0.3617865739003017	6984	0.05221919339832229	0.05045673040101615	0.20977538187907382
1.0	108850	0.1172175990232855	0.11602005717974612	0.32020241897097634	6634	0.08258619217057263	0.06886144418263336	0.19366276175337646
1.0	172142	0.16698726304416503	0.16796890717271107	0.3137543884956197	6524	0.1707443527319108	0.24888765748140748	0.20104529209331967
1.0	56300	0.017071702926219914	0.01648176472251585	0.2555917562994105	6196	0.02163007938810934	0.018998729811073364	0.2010854620864618
1.0	91054	0.011971041821447596	0.011316628999671152	0.2933509548470129	6346	0.06144534817131982	0.046104067282049084	0.1990498902740229
1.0	100056	0.010087245996049963	0.009873773356427628	0.31749179806322897	6292	0.023358151110932302	0.029152898606023606	0.19408858076486457
1.0	69220	0.007698316022048469	0.007755420107574901	0.27829241845370495	6120	0.050347614639522115	0.03892091983429959	0.18689375745133122
1.0	140158	0.0015762821492160998	0.001410018197468862	0.29149102603645727	6760	0.016162840972764627	0.020585070772149845	0.19833948469447338
1.0	94382	0.0017306988377500053	0.0017623008411022357	0.2880344895095965	6474	0.022355001416605697	0.021356233465608464	0.21009979788174818
1.0	89348	0.011114223547081373	0.010613420714238549	0.2965121697226353	6196	0.04531934802047834	0.05569331983805668	0.21648585042024238
1.0	137254	0.002405542476525327	0.0021850204578964935	0.29269017999018726	6244	0.026952277941577982	0.035552127217346005	0.2017021939603648
1.0	103044	0.013628396824885288	0.01382954346118997	0.2943999680960958	6868	0.044944029916489145	0.036683442254410864	0.1951371161738056
1.0	80060	0.0049139884643516684	0.004871326568551543	0.30328980309293385	6776	0.03204759073049052	0.03372333532695375	0.20545422064500696
1.0	83520	0.26539336482860315	0.2676655801131849	0.29091108517016023	6516	0.10871030926776479	0.11773393109117711	0.20644313113400248
1.0	187866	0.0399144175880008	0.03952912532414801	0.33510875013777147	7000	0.045318099765862666	0.04843342465323989	0.198559038803196
1.0	141540	0.2951917827693004	0.2967422065091368	0.3288861616153228	6752	0.18139864205850023	0.20782324500792018	0.21184100772176007
1.0	172990	0.0039361358026807364	0.003917279623155448	0.3348527802426596	6996	0.00782048471901274	0.015983228668261563	0.2011072871700564
1.0	98180	0.34413940574818896	0.34412029343373485	0.2953901113625677	6836	0.2281719970946721	0.24280438117640205	0.19465033912925991
1.0	201400	0.0919173538893892	0.09248693028393756	0.34703202102535985	7002	0.0655020570359028	0.06545162984912403	0.20249706634390607
