Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	61640	0.2899668246456613	0.3183581701891056	0.31365863020848234	6152	0.09018813158473932	0.09018813158473932	0
1.0	107636	0.27245408977930746	0.30752145753391064	0.3686822730984476	6436	0.08180308581858639	0.08180308581858639	0
1.0	88690	0.29100202558938015	0.32547295525603925	0.3494247544084665	6414	0.0745494389741182	0.0745494389741182	0
1.0	172502	0.3383352648907569	0.3493001780265723	0.388917775028917	6906	0.09201673789439191	0.09201673789439191	0
1.0	93398	0.34913658221731225	0.3639406028829056	0.3589564249248817	6424	0.08256403409818226	0.08256403409818226	0
1.0	124902	0.29258118998495614	0.3126694862987249	0.37253605506010706	6534	0.10024452067781964	0.10024452067781964	0
1.0	155404	0.26332050692596554	0.2930364041764295	0.386060232175466	6378	0.07810749960322957	0.07810749960322957	0
1.0	146858	0.36332909002091135	0.37751131665776066	0.37347088550188284	6446	0.094090559178777	0.094090559178777	0
1.0	96824	0.3869920948724778	0.3943685147010967	0.3557188269933817	6562	0.09549536170314903	0.09549536170314903	0
1.0	122850	0.28669016742202275	0.29830250174092743	0.395487602563076	6708	0.09030503809426353	0.09030503809426353	0
1.0	115626	0.3504229916312691	0.36849341652625756	0.38497720663861773	6492	0.09187437996031744	0.09187437996031744	0
1.0	110198	0.3925423942613024	0.4106017708355372	0.3833316983309493	6630	0.08941317818110851	0.08941317818110851	0
1.0	51272	0.39517218370535784	0.4181884526765552	0.3210457755145289	6068	0.09330397145417307	0.09330397145417307	0
1.0	67032	0.44057097134538725	0.4578780448890477	0.3203988566529078	6278	0.10019989454181058	0.10019989454181058	0
1.0	181212	0.39294089741282473	0.40445120550162833	0.39414097373162577	6378	0.07854927715373784	0.07854927715373784	0
1.0	113600	0.3375334124219907	0.34665357065529745	0.39443401044810394	6866	0.09656503262110415	0.09656503262110415	0
1.0	104648	0.32000922033186874	0.33774674310918107	0.38105331627744526	6290	0.082686041906682	0.082686041906682	0
1.0	55252	0.4362113535854995	0.45108814741071024	0.3205903202558004	5958	0.09080881176395289	0.09080881176395289	0
1.0	82130	0.2821100121248265	0.3128805271491662	0.352411240901127	6240	0.08336733550947262	0.08336733550947262	0
1.0	120086	0.2961896277637823	0.3106634243325899	0.39399987603475006	6696	0.09322196620583714	0.09322196620583714	0
1.0	72500	0.3685516176770812	0.38665415661007707	0.33920571600310173	5992	0.08374485967101891	0.08374485967101891	0
1.0	81250	0.33480596246352545	0.34857071901579506	0.3477433137037445	6538	0.08880518353174605	0.08880518353174605	0
1.0	70080	0.33325326992177023	0.34874388539619333	0.3374260935754148	6086	0.08936171915002561	0.08936171915002561	0
1.0	81056	0.34842393653211023	0.3662668627717407	0.34582471669265663	6266	0.0859647517441116	0.0859647517441116	0
1.0	108094	0.30182499226141285	0.324076944259356	0.38935404986764105	6558	0.08720083085317458	0.08720083085317458	0
1.0	77726	0.3719911083479587	0.3861289841448111	0.3579934278243477	6444	0.08764210909498206	0.08764210909498206	0
1.0	78582	0.32484869721647147	0.3582944177135136	0.3476602722391424	6102	0.0898377496159754	0.0898377496159754	0
1.0	54780	0.43888184510834205	0.45313772211960596	0.31004029864760574	5876	0.09739173307091652	0.09739173307091652	0
1.0	169884	0.38374342957676166	0.3942554372895084	0.39763423333256204	6748	0.09362413704063059	0.09362413704063059	0
1.0	75352	0.3855238174644388	0.41084622928093256	0.3418525498044071	6268	0.08844176457728951	0.08844176457728951	0
1.0	94840	0.35299060198545157	0.369848034567927	0.3789022290409046	6514	0.09379125264016897	0.09379125264016897	0
1.0	175162	0.31299026411632047	0.33051586428984375	0.40476993760943936	6654	0.086510456341337	0.086510456341337	0
1.0	140414	0.3559644412833523	0.3719902310358641	0.3667356249205947	6196	0.09843504984318995	0.09843504984318995	0
1.0	158934	0.32028160906802217	0.3286472354076116	0.40525142698528405	6930	0.09090281778033793	0.09090281778033793	0
1.0	119584	0.3414936413168627	0.35963352485778743	0.3783158593680229	6598	0.0884239664414377	0.0884239664414377	0
1.0	116732	0.2970993338698412	0.31416497930577486	0.37212617653055946	6362	0.0792098194284434	0.0792098194284434	0
1.0	82840	0.3801802885306137	0.39509423835810903	0.35194562281777836	6088	0.09006976446492576	0.09006976446492576	0
1.0	84476	0.36252366827584276	0.38225604595115714	0.3496215316515579	5946	0.08648178483422937	0.08648178483422937	0
1.0	136080	0.30687527476496573	0.33259645869137683	0.3756438636941694	6394	0.08450440828213004	0.08450440828213004	0
1.0	125584	0.3544450048221085	0.37367888103783087	0.3515636568048995	6316	0.09234090981822836	0.09234090981822836	0
1.0	106224	0.3172935999473393	0.3347055709523533	0.3811494321310869	6434	0.08721358166922683	0.08721358166922683	0
1.0	185966	0.31615370199192006	0.3308032090362979	0.40780988577203225	6512	0.08562022969470044	0.08562022969470044	0
1.0	60394	0.42595057390334345	0.4374194620958856	0.32146510377570076	6020	0.0836043506784434	0.0836043506784434	0
1.0	57358	0.36551619479493735	0.385050666499276	0.3121771599547767	6032	0.10229854710701487	0.10229854710701487	0
1.0	145584	0.33569434537772036	0.36651671868050567	0.38613844227858435	6332	0.07844213171626871	0.07844213171626871	0
1.0	104722	0.2769459437232316	0.30426769442294915	0.3721718174019084	6664	0.09234117822221866	0.09234117822221866	0
1.0	60856	0.3776546764864084	0.39458441948800455	0.318258560885159	5988	0.07898705517153098	0.07898705517153098	0
1.0	67504	0.3860354471102614	0.40793099939844313	0.334219632077615	6154	0.09343447980670763	0.09343447980670763	0
1.0	74688	0.3747199188031706	0.3983519880363377	0.32595900873498235	6182	0.0857158761711544	0.0857158761711544	0
1.0	106040	0.33381486244769587	0.3531874735964693	0.37643630670302947	6682	0.09592345718207172	0.09592345718207172	0
1.0	174288	0.313993472375557	0.33136492723637073	0.4076130207378967	6518	0.09264042898745517	0.09264042898745517	0
1.0	229782	0.38396105215967896	0.3967736548483669	0.4026991835913314	6626	0.08544571852598568	0.08544571852598568	0
1.0	55804	0.39354876406654565	0.4087813148409888	0.3233083370810454	6116	0.08996150753648231	0.08996150753648231	0
1.0	84704	0.39518449554246254	0.4018744075119823	0.3529640967390448	6236	0.09141785074244752	0.09141785074244752	0
1.0	146850	0.319797594905872	0.33298063758032065	0.36290438311171075	6624	0.10062493853698817	0.10062493853698817	0
1.0	113798	0.30513978054137714	0.31534411970436965	0.3876298036929404	6854	0.09355198732718892	0.09355198732718892	0
1.0	107662	0.26066905734362	0.28428378763258977	0.3908441343979779	6622	0.09093857006848438	0.09093857006848438	0
1.0	76098	0.38293211487523926	0.39167658777676356	0.3362597215633049	6134	0.09377126849089126	0.09377126849089126	0
1.0	69508	0.3850938535699985	0.39780184656306933	0.32532324197447166	6064	0.0911208317332309	0.0911208317332309	0
1.0	66424	0.37639448625948924	0.39258189578460334	0.33099184226790274	5900	0.08435189852150538	0.08435189852150538	0
1.0	88910	0.3543973843007465	0.3744337329405607	0.3516155246362919	6090	0.08284130184331794	0.08284130184331794	0
1.0	159518	0.32142680739611107	0.3403524656569251	0.39123381107978533	6376	0.09231285039530665	0.09231285039530665	0
1.0	83574	0.3649787607890334	0.3785922696619409	0.36083497741087195	6612	0.09378825244815667	0.09378825244815667	0
1.0	135056	0.34828241416437666	0.3682124951073317	0.37397756688435474	6290	0.08442240303379417	0.08442240303379417	0
1.0	82748	0.3711363564736516	0.3906417828718486	0.34406494632383205	5950	0.09240291378648233	0.09240291378648233	0
1.0	122154	0.265016737864256	0.28774903303310007	0.37853442886270283	6496	0.07840744655434274	0.07840744655434274	0
1.0	96160	0.37620265556186694	0.3961642574913209	0.3683626898189656	6274	0.09062655009920637	0.09062655009920637	0
1.0	86404	0.35638869461190015	0.36990192280466533	0.3570858861054363	6198	0.09046879000256014	0.09046879000256014	0
1.0	88590	0.3514992209430505	0.3645794567211894	0.35273253100908847	6306	0.08679661236024024	0.08679661236024024	0
1.0	98140	0.2973935323820287	0.3263628167724205	0.3670625844649449	6274	0.08015963021633381	0.08015963021633381	0
1.0	83796	0.3774534602583054	0.4030717328493947	0.3359285987982596	6066	0.09445934481648906	0.09445934481648906	0
1.0	86500	0.3542916026634999	0.3719643674393854	0.35818867809621074	6470	0.08720383104518689	0.08720383104518689	0
1.0	90524	0.332397086042646	0.34628946785098963	0.34773219977289904	6202	0.08758585549475163	0.08758585549475163	0
1.0	101830	0.2901025484452061	0.30540556348369263	0.37447186483884076	6544	0.07481578821044545	0.07481578821044545	0
1.0	131480	0.4450015258068604	0.45262117758814047	0.3326637514141473	5998	0.08910970302099334	0.08910970302099334	0
1.0	64360	0.3997770108049128	0.4164643324202044	0.3274028782014533	5770	0.08383361535138248	0.08383361535138248	0
1.0	52614	0.3853715734498947	0.40280947409421863	0.31698394310205724	6246	0.08060678014540469	0.08060678014540469	0
1.0	85366	0.2581013847020834	0.2909045029824065	0.36297550587055505	6678	0.07570259496607783	0.07570259496607783	0
1.0	189534	0.31038756924056365	0.3235114462762245	0.40633969864924074	6990	0.0873333025929142	0.0873333025929142	0
1.0	38866	0.3559653007994459	0.37541684091647237	0.30223593074796357	6052	0.09079190904283449	0.09079190904283449	0
1.0	98596	0.369867849107943	0.383444114710669	0.3683477200948871	6436	0.08926446292562723	0.08926446292562723	0
1.0	96976	0.3637472804385215	0.38591452746588445	0.35763272394712636	6336	0.08889067913386475	0.08889067913386475	0
1.0	197556	0.31299030528507116	0.3281854469290473	0.41019833316303767	6940	0.08267054091461855	0.08267054091461855	0
1.0	84244	0.33925311156675875	0.36216186809998946	0.35246527954644624	6258	0.08860242055491549	0.08860242055491549	0
1.0	117912	0.3431941589135175	0.35959620069065895	0.38261288614960504	6638	0.09635130888443542	0.09635130888443542	0
1.0	99670	0.35376777339818605	0.369940147071339	0.3773679853444843	6596	0.08048890128968253	0.08048890128968253	0
1.0	256604	0.4019731871837195	0.4043055055125433	0.40769596459889756	7084	0.08679305475550436	0.08679305475550436	0
1.0	156386	0.29864966787380604	0.3082203851246716	0.39303666316498714	6818	0.08664679539490526	0.08664679539490526	0
1.0	83294	0.36763430057025515	0.3911649666648525	0.34323324993493803	5970	0.08506444412442393	0.08506444412442393	0
1.0	142810	0.46467210750228277	0.4830470867649649	0.35586296375291987	6360	0.09218064956157193	0.09218064956157193	0
1.0	127954	0.3645145150941598	0.38278579191397694	0.34939145868084825	5756	0.08677355350742447	0.08677355350742447	0
1.0	166180	0.29593099690389013	0.3097944250001562	0.3985276142063061	6324	0.08751085069444445	0.08751085069444445	0
1.0	67058	0.3830125930990772	0.3919255391989859	0.33871661039749235	6252	0.09071980606758834	0.09071980606758834	0
1.0	114376	0.28205367068886544	0.31099130578833567	0.3875681638582645	6618	0.08304365905647468	0.08304365905647468	0
1.0	107866	0.3689311233586223	0.3771409161161496	0.3930377438909652	6754	0.08990275377624167	0.08990275377624167	0
1.0	79212	0.29626215161703034	0.34719072189206257	0.3558177046916447	6170	0.0748277889784946	0.0748277889784946	0
1.0	87496	0.33228560165557713	0.3702250569184109	0.36073206594540363	6270	0.08370391442757255	0.08370391442757255	0
1.0	73010	0.3769702613856126	0.387468298286291	0.34272075981628564	6214	0.08434239791346645	0.08434239791346645	0
1.0	180940	0.3176925214444565	0.33404903575964817	0.4086727064874052	6870	0.08741630775845068	0.08741630775845068	0
1.0	110800	0.33863290244802446	0.35864705113692974	0.37092063844011763	6622	0.09545213552966278	0.09545213552966278	0
1.0	47046	0.3792312056164614	0.39241515863148607	0.3011965394746573	6088	0.0924479418983691	0.0924479418983691	0
1.0	88350	0.3667930900295881	0.3885858809034432	0.34854450395576303	5820	0.08960373463901689	0.08960373463901689	0
1.0	129702	0.3525654216377949	0.36691415314570874	0.35911525137337413	6276	0.08730158730158724	0.08730158730158724	0
1.0	154220	0.31531867012454795	0.3267225691606931	0.3862339459400461	6592	0.08916571026068662	0.08916571026068662	0
1.0	152778	0.32066900903736567	0.33179606507351356	0.3839071122520005	6486	0.0815314680139529	0.0815314680139529	0
1.0	71264	0.3999033003902925	0.4170662630239477	0.33251855587112367	5944	0.09248391897081415	0.09248391897081415	0
1.0	113928	0.32328082038014755	0.3411084159260655	0.38430446948816904	6888	0.08700036124345858	0.08700036124345858	0
1.0	107860	0.25179278217055495	0.27337608101226785	0.3929963840300772	6762	0.08172323028673834	0.08172323028673834	0
1.0	122452	0.31104738702164836	0.32253515045142434	0.3985299055967502	6992	0.09517665012750312	0.09517665012750312	0
1.0	103278	0.32579555519039194	0.3444241029751516	0.36601788273256974	6128	0.08562097974270355	0.08562097974270355	0
1.0	57996	0.3927384293128514	0.4018531600820513	0.3338937279449683	6544	0.09727147537442393	0.09727147537442393	0
1.0	100506	0.34360719122124267	0.36821804405873076	0.35962361456496295	6510	0.09624219450390185	0.09624219450390185	0
1.0	103690	0.30209169034984795	0.32606648093510227	0.3665855681641428	6174	0.07624937996031746	0.07624937996031746	0
1.0	125622	0.19281424232868297	0.237260482805268	0.36694026798827944	6292	0.07798567676245913	0.07798567676245913	0
1.0	97410	0.3044078752872774	0.34421514110762697	0.35902340102095237	6400	0.08088167749717705	0.08088167749717705	0
1.0	245300	0.31770436361285553	0.3305973546549039	0.41668325687053964	6996	0.09983560664598926	0.09983560664598926	0
1.0	108380	0.352254584121661	0.37440348459375505	0.37337970498910944	6130	0.09561536938364054	0.09561536938364054	0
1.0	94416	0.2994169882187825	0.31548269925495925	0.3782363735809941	6620	0.07878879248271889	0.07878879248271889	0
1.0	78064	0.37023909152503526	0.3867846262908978	0.34922557591005415	6134	0.08215225774449562	0.08215225774449562	0
1.0	77916	0.36280105943565444	0.3784350937704895	0.3306131111484463	5942	0.09627038261596284	0.09627038261596284	0
1.0	53626	0.3915560674202841	0.4111411123133598	0.30847125662426916	5574	0.089989009296595	0.089989009296595	0
1.0	181666	0.26756795931908917	0.2769510813125886	0.3937342171049129	6864	0.08726283496805562	0.08726283496805562	0
1.0	55910	0.40725190022014207	0.41875462882147074	0.32023366511855683	6084	0.08534785980401104	0.08534785980401104	0
0.994140625	131584	0.31845671230006695	0.3395577036051173	0.39803327365216806	6726	0.08393147343185432	0.08393147343185432	0
1.0	102662	0.3310157806828394	0.3459337952197409	0.3602443916125934	6416	0.09966054434622622	0.09966054434622622	0
1.0	98690	0.2986221036791819	0.3275879576183405	0.36249022347672777	6456	0.08913725057014667	0.08913725057014667	0
1.0	97092	0.3316476526122864	0.3521392691012513	0.3694126401478974	6258	0.08348234286994363	0.08348234286994363	0
1.0	90348	0.3273330214438517	0.3501682788610177	0.3607194774168208	6412	0.07659740223374294	0.07659740223374294	0
1.0	132748	0.43656317784089116	0.4565062683240299	0.3555327749384751	6472	0.10269082611489067	0.10269082611489067	0
1.0	70622	0.35522160992402746	0.37920220562739365	0.33978311676612144	6358	0.09004300865419318	0.09004300865419318	0
1.0	197830	0.2587161778540666	0.271224439977445	0.4182021588657032	6978	0.07857834515746327	0.07857834515746327	0
1.0	63006	0.38452887240634387	0.3976787370971242	0.31473602915320054	5772	0.08615873547054552	0.08615873547054552	0
1.0	101780	0.354591644171834	0.3706873878822253	0.37678433671681777	6554	0.091869879672299	0.091869879672299	0
1.0	103762	0.34854756499129014	0.3674201015898083	0.38225833868509024	6410	0.08872708836972124	0.08872708836972124	0
1.0	110610	0.33257462740421173	0.3521143410686629	0.37426017227892344	6418	0.0882784497872522	0.0882784497872522	0
1.0	120060	0.29328078642215866	0.3203659431288111	0.3893396200618832	6700	0.08560671655298174	0.08560671655298174	0
1.0	48282	0.40052422906315116	0.4211242324969337	0.31436488319706307	5948	0.09488107238863287	0.09488107238863287	0
1.0	104646	0.33309603392840054	0.34617469264715484	0.3647950530377468	6284	0.08792962749615975	0.08792962749615975	0
1.0	74596	0.3501248595319436	0.37756318508521863	0.3533558471648444	6368	0.09649792586725549	0.09649792586725549	0
1.0	118706	0.34068934859434163	0.3567200801350769	0.3909916676966149	6736	0.0914150721347846	0.0914150721347846	0
1.0	57256	0.3958013036425243	0.41666983467462076	0.32711443233743415	6120	0.08476792514720943	0.08476792514720943	0
1.0	95618	0.29443938994092556	0.3129234936347728	0.3820861486609857	6664	0.08461191516257041	0.08461191516257041	0
1.0	51710	0.3636166585953612	0.3855240337315093	0.3232800097147576	6002	0.09236791154633896	0.09236791154633896	0
1.0	99250	0.3581604833820408	0.3703242515842551	0.38126941960846716	6778	0.09293444780465951	0.09293444780465951	0
1.0	116694	0.31628208271913244	0.33119417473311835	0.3772358674518493	6548	0.08556885345580151	0.08556885345580151	0
1.0	106352	0.258607010823673	0.2881773617759806	0.3837250060528497	6412	0.060949150745647704	0.060949150745647704	0
1.0	54840	0.40177290856259934	0.415882492813347	0.317361977514064	6122	0.0817173528614028	0.0817173528614028	0
1.0	87458	0.3367394950520351	0.35463933866343134	0.3563469787000215	6380	0.08695056483614953	0.08695056483614953	0
1.0	74190	0.343050280985825	0.3694154058296712	0.3406308683086548	6280	0.08758035514272913	0.08758035514272913	0
1.0	141116	0.33871650836945716	0.35283427100067194	0.390211196863705	6558	0.08804488487263187	0.08804488487263187	0
1.0	103886	0.2980615670662779	0.31656893075687775	0.3611385972699101	6686	0.09792610145168959	0.09792610145168959	0
1.0	180196	0.27871638437134355	0.2911933257759901	0.40735143095448095	6848	0.074482311949932	0.074482311949932	0
1.0	117138	0.264306886897171	0.28549066278427077	0.3736620270205444	6296	0.07780272937467997	0.07780272937467997	0
1.0	177528	0.38351878416037083	0.39419705030292457	0.40027238315806213	6680	0.09501333085317458	0.09501333085317458	0
1.0	53736	0.39574410566411944	0.4167809758330508	0.31646802819693054	6072	0.08349034338197642	0.08349034338197642	0
1.0	100194	0.3614377532345828	0.37842524882185696	0.360167985196801	6492	0.0804409604784406	0.0804409604784406	0
1.0	71572	0.34572950280633674	0.3697551415528299	0.32331094602897387	6384	0.10466921432088254	0.10466921432088254	0
1.0	197066	0.32965195989375434	0.3450367273614608	0.4114953681843739	6960	0.09075925449392692	0.09075925449392692	0
1.0	81336	0.28704901941293104	0.32028133729795905	0.35176895480172515	6134	0.07739645337301586	0.07739645337301586	0
1.0	65920	0.36782023686727616	0.37746341716039783	0.32901016211892614	6224	0.08121444772465437	0.08121444772465437	0
1.0	137508	0.3027144867062041	0.31526448022842024	0.39785740502266	6762	0.09203088997695849	0.09203088997695849	0
1.0	160858	0.33560721305982605	0.34962834308256835	0.40123705951949984	6366	0.08725158410138247	0.08725158410138247	0
1.0	69708	0.3790610188898535	0.39272291213943944	0.34658188437863086	6032	0.08279979918714797	0.08279979918714797	0
1.0	61132	0.37089104494037767	0.3876520197544278	0.3303286536741483	6374	0.09232815900217616	0.09232815900217616	0
1.0	67126	0.3869933617551688	0.4070579841771776	0.31806517711658167	6234	0.0944933434622829	0.0944933434622829	0
1.0	153806	0.31194026293373545	0.32207185670528843	0.3983691912953798	6854	0.0883696556579621	0.0883696556579621	0
1.0	72616	0.38868700110220894	0.4211177373505603	0.3430391355923832	6182	0.08396937403993855	0.08396937403993855	0
1.0	84548	0.3477373710052949	0.36462942444503815	0.3488887713349542	6342	0.09082631288402455	0.09082631288402455	0
1.0	167542	0.3422453287438236	0.35550477878601716	0.3986248749364456	6834	0.08934701523592702	0.08934701523592702	0
1.0	62270	0.3582741446513399	0.3709442225074157	0.3335835527930107	6330	0.0802983890969022	0.0802983890969022	0
1.0	139490	0.3515603010871438	0.36639713879385283	0.37388321801410784	6250	0.08438915090565795	0.08438915090565795	0
1.0	82510	0.33769920678564613	0.37874537053173396	0.34510727605966524	6372	0.1034297259198999	0.1034297259198999	0
1.0	100266	0.3040449523966576	0.32498997296858045	0.37628526077317354	6532	0.08552297347030206	0.08552297347030206	0
1.0	69006	0.3841608872414769	0.4063097138653556	0.33278248313352843	6252	0.08914570532514077	0.08914570532514077	0
1.0	172378	0.31115367790251225	0.33006429693635614	0.39382016339526893	6474	0.0964427606083757	0.0964427606083757	0
1.0	88586	0.32245519301665077	0.34388033303727417	0.3662607839316531	6466	0.07707768297171018	0.07707768297171018	0
1.0	63756	0.3864719676465369	0.40621655992360595	0.34341412575369207	6396	0.09613240247375832	0.09613240247375832	0
1.0	87048	0.3721183820595299	0.39010493125865303	0.3268464836652986	5814	0.10461130795063253	0.10461130795063253	0
1.0	154666	0.3260922414700955	0.3391886431182894	0.3709664891073281	6450	0.09695662164692975	0.09695662164692975	0
1.0	145948	0.36845724936829366	0.3795802777075227	0.369010125389078	6588	0.0924991923201139	0.0924991923201139	0
1.0	68790	0.3774406384624138	0.4007931358617273	0.333550407095216	6132	0.0911133312532002	0.0911133312532002	0
1.0	138410	0.2759662103915876	0.29226461722539765	0.3908058936009741	6794	0.08527322152567623	0.08527322152567623	0
1.0	64412	0.32915716593375605	0.3420970206189571	0.3359001024105394	6448	0.0939894087647839	0.0939894087647839	0
1.0	109998	0.3464115644575529	0.3673892079281816	0.3857481979274753	6346	0.08127782473160247	0.08127782473160247	0
1.0	91442	0.3578880691046686	0.3662671408593737	0.36669447552785234	6500	0.08808763760880696	0.08808763760880696	0
1.0	87628	0.34197329457037207	0.35936664014265474	0.35867832837617514	6234	0.09068105358742962	0.09068105358742962	0
1.0	156020	0.332539423550264	0.35121343998937377	0.3760908092514983	6346	0.09677197418000295	0.09677197418000295	0
1.0	39414	0.372919730535571	0.39071988024972987	0.2899593492025363	5790	0.08147421434971835	0.08147421434971835	0
1.0	84806	0.3564354459872166	0.36321016820331536	0.3337429559912899	6484	0.09782283307220085	0.09782283307220085	0
1.0	109152	0.3268590514853769	0.3431383499958607	0.3660749312640997	6778	0.09925964574827437	0.09925964574827437	0
1.0	76804	0.3882159131806047	0.41259326434914173	0.34642761054716614	6066	0.08546171955005119	0.08546171955005119	0
1.0	81496	0.3579016722303482	0.3833824805878713	0.3723647260871632	6708	0.09308120719726065	0.09308120719726065	0
1.0	211434	0.3678381021751226	0.3791117059658613	0.40804421615522196	6944	0.09397371431771635	0.09397371431771635	0
1.0	76390	0.3493997462123507	0.3864478673555385	0.32967138402205254	6134	0.10763366430655137	0.10763366430655137	0
1.0	167422	0.2922039777439152	0.30303858853234145	0.38953064625799017	6410	0.08055190532194058	0.08055190532194058	0
1.0	125260	0.31099739542401	0.32743789033971715	0.38854449180164474	6794	0.09811164613618348	0.09811164613618348	0
1.0	92266	0.31433353067721626	0.3355309794555855	0.3582398703459772	6516	0.09162164785764162	0.09162164785764162	0
1.0	174140	0.3058712677709874	0.32183090475252857	0.38673671344585797	6564	0.0947404698590442	0.0947404698590442	0
0.9091796875	280442	0.33998299465629234	0.34351846597725544	0.44504691347457004	6968	0.11060383788652707	0.11060383788652707	0
1.0	120848	0.2520744895232725	0.26416665335363426	0.3933014039174168	6854	0.07195560515873016	0.07195560515873016	0
1.0	59472	0.36330690180520553	0.38002806214140566	0.3219817300373199	6044	0.09661668346774197	0.09661668346774197	0
1.0	192328	0.3197299533311963	0.3329169044963949	0.41669229442337224	6926	0.09655017921146954	0.09655017921146954	0
1.0	93694	0.3608705890794792	0.3689581148349845	0.3545834542516308	6446	0.09829105246733262	0.09829105246733262	0
1.0	119742	0.3102740914514862	0.3279140767095556	0.3882278847526334	6494	0.09141605179430569	0.09141605179430569	0
1.0	93978	0.3580377995894189	0.3809310122883863	0.3626844149074527	6594	0.09685270965983113	0.09685270965983113	0
1.0	89962	0.3541297503663155	0.3714990018910434	0.364904451594196	6660	0.10058708511443094	0.10058708511443094	0
