Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	16	0	0	0.05119047619047619	24	0	0	0
0.8333333333333334	6	0	0	0	12	0	0	0
1.0	12	0	0	0.058333333333333334	16	0	0	0
0.75	18	0	0	0.05208333333333333	22	0	0	0
0.8333333333333334	20	0	0	0.058333333333333334	26	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	4	0	0	0	8	0	0	0
0.8333333333333334	12	0	0	0	12	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
0.45833333333333337	0	0	0	0	0	0	0	0
0.625	8	0	0	0	10	0	0	0
1.0	16	0	0	0.0625	24	0	0	0
0.8333333333333334	6	0	0	0	12	0	0	0
1.0	6	0	0	0	6	0	0	0
0.6666666666666667	2	0	0	0	4	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	42	0	0	0.12395833333333332	40	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	32	0	0	0.10277777777777779	42	0	0	0
1.0	8	0	0	0	10	0	0	0
0.875	0	0	0	0	0	0	0	0
0.8333333333333334	8	0	0	0	10	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	18	0	0	0.058333333333333334	22	0	0	0
1.0	16	0	0	0.05119047619047619	24	0	0	0
0.8333333333333334	18	0	0	0.058333333333333334	22	0	0	0
0.625	0	0	0	0	0	0	0	0
1.0	18	0	0	0.058333333333333334	22	0	0	0
1.0	6	0	0	0	12	0	0	0
0.75	4	0	0	0	8	0	0	0
1.0	4	0	0	0	8	0	0	0
0.8333333333333334	6	0	0	0	6	0	0	0
0.8333333333333334	6	0	0	0	6	0	0	0
0.6666666666666667	6	0	0	0	6	0	0	0
1.0	34	0	0	0.08110119047619047	32	0	0	0
1.0	56	0	0	0.12686011904761904	32	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	0	0	0	0	0	0	0	0
0.8333333333333334	30	0	0	0.09114583333333333	38	0	0	0
0.75	2	0	0	0	4	0	0	0
0.8333333333333334	20	0	0	0.058333333333333334	26	0	0	0
0.6666666666666667	2	0	0	0	4	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	30	0	0	0.09840576090576092	24	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	2	0	0	0	4	0	0	0
0.8333333333333334	6	0	0	0	12	0	0	0
0.875	30	0	0	0.09989385614385615	24	0	0	0
1.0	6	0	0	0	12	0	0	0
0.8333333333333334	14	0	0	0.05208333333333333	20	0	0	0
0.75	0	0	0	0	0	0	0	0
0.8333333333333334	16	0	0	0.05476190476190476	24	0	0	0
1.0	34	0	0	0.09096528471528473	32	0	0	0
0.5833333333333333	12	0	0	0.0625	16	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	6	0	0	0	12	0	0	0
0.8333333333333334	8	0	0	0	10	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.6666666666666667	2	0	0	0	4	0	0	0
1.0	0	0	0	0	0	0	0	0
0.8333333333333334	8	0	0	0	10	0	0	0
0.8333333333333334	12	0	0	0.05208333333333333	16	0	0	0
0.8333333333333334	14	0	0	0	16	0	0	0
1.0	8	0	0	0	16	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
1.0	6	0	0	0	6	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	4	0	0	0	8	0	0	0
0.6666666666666667	0	0	0	0	0	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	0	0	0	0	0	0	0	0
0.8333333333333334	10	0	0	0	20	0	0	0
0.8333333333333334	6	0	0	0	6	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	8	0	0	0	16	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	20	0	0	0.05208333333333333	26	0	0	0
1.0	42	0	0	0.13880754662004663	40	0	0	0
0.75	18	0	0	0.05208333333333333	28	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	12	0	0	0.05208333333333333	16	0	0	0
0.8333333333333334	22	0	0	0.0625	30	0	0	0
0.5	0	0	0	0	0	0	0	0
1.0	0	0	0	0	0	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.8333333333333334	14	0	0	0.05476190476190476	20	0	0	0
1.0	10	0	0	0	14	0	0	0
0.8333333333333334	8	0	0	0	10	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	2	0	0	0	4	0	0	0
0.75	0	0	0	0	0	0	0	0
0.8333333333333334	14	0	0	0.0625	20	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	12	0	0	0.058333333333333334	16	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	6	0	0	0	12	0	0	0
0.875	4	0	0	0	8	0	0	0
0.8333333333333334	8	0	0	0	10	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	4	0	0	0	8	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.75	14	0	0	0.058333333333333334	20	0	0	0
1.0	14	0	0	0.05208333333333333	20	0	0	0
0.5	0	0	0	0	0	0	0	0
1.0	6	0	0	0	6	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	6	0	0	0	12	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
0.8333333333333334	8	0	0	0	16	0	0	0
1.0	6	0	0	0	12	0	0	0
0.8333333333333334	22	0	0	0.05151515151515152	30	0	0	0
0.8333333333333334	16	0	0	0.058333333333333334	24	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	4	0	0	0	8	0	0	0
0.8333333333333334	6	0	0	0	6	0	0	0
1.0	2	0	0	0	4	0	0	0
0.75	0	0	0	0	0	0	0	0
1.0	28	0	0	0.09895833333333333	40	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	2	0	0	0	4	0	0	0
0.6666666666666667	10	0	0	0	14	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
0.875	2	0	0	0	4	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.75	2	0	0	0	4	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	24	0	0	0.10208333333333333	32	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	4	0	0	0	8	0	0	0
0.5833333333333333	6	0	0	0	6	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	16	0	0	0.05208333333333333	24	0	0	0
0.9166666666666666	6	0	0	0	12	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	2	0	0	0	4	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
1.0	32	0	0	0.11182498057498055	28	0	0	0
0.8333333333333334	12	0	0	0.058333333333333334	16	0	0	0
0.75	2	0	0	0	4	0	0	0
