Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
0.625	2	0	0	0	4	0	0	0
0.9166666666666666	0	0	0	0	0	0	0	0
0.8333333333333334	0	0	0	0	0	0	0	0
0.75	2	0	0	0	4	0	0	0
0.9166666666666666	2	0	0	0	4	0	0	0
0.75	2	0	0	0	4	0	0	0
0.875	6	0	0	0	6	0	0	0
1.0	2	0	0	0	4	0	0	0
0.5833333333333333	0	0	0	0	0	0	0	0
1.0	16	0	0	0.0625	24	0	0	0
1.0	2	0	0	0	4	0	0	0
0.8333333333333334	24	0	0	0.11041666666666666	32	0	0	0
0.9166666666666666	4	0	0	0	8	0	0	0
1.0	0	0	0	0	0	0	0	0
0.75	2	0	0	0	4	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
1.0	14	0	0	0.05208333333333333	20	0	0	0
0.875	2	0	0	0	4	0	0	0
0.625	0	0	0	0	0	0	0	0
1.0	16	0	0	0.05208333333333333	24	0	0	0
0.6666666666666667	12	0	0	0.0625	16	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
0.875	2	0	0	0	4	0	0	0
0.9166666666666666	6	0	0	0	12	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
1.0	2	0	0	0	4	0	0	0
0.9166666666666666	14	0	0	0.057291666666666664	20	0	0	0
0.75	14	0	0	0.058333333333333334	20	0	0	0
1.0	4	0	0	0	8	0	0	0
0.625	0	0	0	0	0	0	0	0
0.5	18	0	0	0.058333333333333334	22	0	0	0
0.9166666666666666	12	0	0	0.0625	16	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	26	0	0	0.1171875	36	0	0	0
0.625	2	0	0	0	4	0	0	0
0.75	4	0	0	0	8	0	0	0
0.75	2	0	0	0	4	0	0	0
1.0	2	0	0	0	4	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
0.9166666666666666	2	0	0	0	4	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
0.6666666666666667	2	0	0	0	4	0	0	0
1.0	18	0	0	0.058333333333333334	22	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	0	0	0	0	0	0	0	0
0.8333333333333334	0	0	0	0	0	0	0	0
0.9166666666666666	12	0	0	0.05208333333333333	16	0	0	0
0.75	2	0	0	0	4	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
0.9166666666666666	14	0	0	0.046875	20	0	0	0
0.5	2	0	0	0	4	0	0	0
1.0	2	0	0	0	4	0	0	0
0.75	6	0	0	0	6	0	0	0
1.0	2	0	0	0	4	0	0	0
0.875	2	0	0	0	4	0	0	0
1.0	2	0	0	0	4	0	0	0
0.9166666666666666	4	0	0	0	8	0	0	0
0.875	12	0	0	0.0625	16	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	2	0	0	0	4	0	0	0
0.875	14	0	0	0.05208333333333333	20	0	0	0
0.875	6	0	0	0	6	0	0	0
1.0	18	0	0	0.058333333333333334	22	0	0	0
0.9166666666666666	0	0	0	0	0	0	0	0
0.875	14	0	0	0.0625	20	0	0	0
1.0	36	0	0	0.134375	48	0	0	0
0.45833333333333337	2	0	0	0	4	0	0	0
0.9166666666666666	0	0	0	0	0	0	0	0
0.9166666666666666	0	0	0	0	0	0	0	0
0.5833333333333333	2	0	0	0	4	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
0.75	6	0	0	0	12	0	0	0
0.5	0	0	0	0	0	0	0	0
1.0	2	0	0	0	4	0	0	0
0.9166666666666666	6	0	0	0	6	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	12	0	0	0.05208333333333333	16	0	0	0
0.75	8	0	0	0	10	0	0	0
1.0	4	0	0	0	8	0	0	0
0.8333333333333334	4	0	0	0	8	0	0	0
0.75	0	0	0	0	0	0	0	0
1.0	14	0	0	0.05119047619047619	20	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	6	0	0	0	12	0	0	0
0.875	4	0	0	0	8	0	0	0
0.9166666666666666	22	0	0	0.05	30	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
0.8333333333333334	2	0	0	0	4	0	0	0
