Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
0.96875	24	0	0	0.04427083333333333	40	0	0	0
0.9375	136	0	0	0.27294129481629487	112	0	0	0
0.96875	2	0	0	0	4	0	0	0
0.9375	78	0	0	0.11942536630036629	48	0	0	0
0.953125	44	0	0	0.12518991425241427	44	0	0	0
0.96875	52	0	0	0.15933441558441558	72	0	0	0
0.90625	32	0	0	0.09965277777777778	48	0	0	0
1.0	28	0	0	0.0625	42	0	0	0
0.96875	18	0	0	0.05208333333333333	28	0	0	0
0.953125	54	0	0	0.1433531746031746	76	0	0	0
0.96875	104	0	0	0.17020141317016316	64	0	0	0
0.96875	24	0	0	0.09791666666666667	32	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	46	0	0	0.13591269841269843	48	0	0	0
0.875	56	0	0	0.1277777777777778	68	0	0	0
0.96875	10	0	0	0	14	0	0	0
1.0	34	0	0	0.08839285714285713	46	0	0	0
0.96875	50	0	0	0.11644345238095237	56	0	0	0
0.90625	30	0	0	0.09806547619047619	44	0	0	0
1.0	28	0	0	0.11458333333333333	40	0	0	0
0.875	38	0	0	0.07857142857142857	40	0	0	0
0.9375	178	0	0	0.24359377228962428	104	0	0	0
0.9375	104	0	0	0.22330451411333763	106	0	0	0
1.0	50	0	0	0.10295138888888888	56	0	0	0
0.96875	30	0	0	0.11369047619047618	44	0	0	0
1.0	110	0	0	0.19601718156284717	76	0	0	0
0.9375	4	0	0	0	8	0	0	0
0.96875	28	0	0	0.08124999999999999	40	0	0	0
1.0	40	0	0	0.14725378787878787	56	0	0	0
0.90625	16	0	0	0.04687499999999999	24	0	0	0
0.875	52	0	0	0.1200320512820513	54	0	0	0
0.96875	58	0	0	0.19543650793650794	64	0	0	0
1.0	32	0	0	0.11666666666666665	48	0	0	0
1.0	46	0	0	0.12775297619047618	68	0	0	0
1.0	62	0	0	0.15494505494505492	72	0	0	0
1.0	24	0	0	0.05119047619047619	34	0	0	0
0.90625	62	0	0	0.16517857142857142	52	0	0	0
1.0	48	0	0	0.11875	52	0	0	0
1.0	94	0	0	0.1580983709273183	66	0	0	0
0.875	40	0	0	0.15555555555555556	56	0	0	0
0.96875	58	0	0	0.1246685606060606	66	0	0	0
0.96875	34	0	0	0.10163690476190476	52	0	0	0
1.0	154	0	0	0.19794770678685047	78	0	0	0
0.90625	56	0	0	0.1638212481962482	74	0	0	0
