Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	2	0	0	0	4	0	0	0
1.0	102	0	0	0.20217664494947776	60	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	24	0	0	0.08948412698412697	32	0	0	0
1.0	52	0	0	0.12582799145299145	54	0	0	0
1.0	36	0	0	0.13988095238095236	48	0	0	0
1.0	44	0	0	0.10282738095238095	64	0	0	0
1.0	106	0	0	0.22077445652173913	100	0	0	0
1.0	60	0	0	0.13278744353472613	40	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	16	0	0	0	26	0	0	0
1.0	46	0	0	0.11700539044289045	48	0	0	0
1.0	30	0	0	0.09025297619047619	24	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	16	0	0	0	20	0	0	0
1.0	14	0	0	0	16	0	0	0
1.0	28	0	0	0.08750000000000001	40	0	0	0
1.0	68	0	0	0.13795215201465202	48	0	0	0
1.0	12	0	0	0.0625	16	0	0	0
1.0	88	0	0	0.16455733808674983	60	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	40	0	0	0.0818452380952381	38	0	0	0
1.0	82	0	0	0.21813643029675642	68	0	0	0
1.0	36	0	0	0.10416666666666666	48	0	0	0
1.0	48	0	0	0.10858585858585858	52	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	38	0	0	0.08333333333333333	54	0	0	0
1.0	28	0	0	0.10104166666666667	40	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	66	0	0	0.13330853174603174	46	0	0	0
1.0	70	0	0	0.16190071502571504	52	0	0	0
1.0	40	0	0	0.09702380952380953	52	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	68	0	0	0.15429882617382615	64	0	0	0
1.0	38	0	0	0.14567307692307693	52	0	0	0
1.0	74	0	0	0.12391963364293086	40	0	0	0
1.0	34	0	0	0.10104166666666667	46	0	0	0
1.0	28	0	0	0.10729166666666666	40	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	28	0	0	0.05208333333333333	42	0	0	0
1.0	50	0	0	0.11979166666666666	50	0	0	0
1.0	28	0	0	0.09791666666666667	40	0	0	0
1.0	42	0	0	0.11223672161172162	60	0	0	0
1.0	38	0	0	0.10803571428571428	34	0	0	0
1.0	60	0	0	0.1291686664784491	40	0	0	0
1.0	90	0	0	0.18098210725677832	64	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	70	0	0	0.14571834415584414	52	0	0	0
1.0	44	0	0	0.1239250333000333	44	0	0	0
1.0	24	0	0	0.058333333333333334	40	0	0	0
1.0	12	0	0	0.058333333333333334	16	0	0	0
1.0	34	0	0	0.08958333333333332	52	0	0	0
1.0	92	0	0	0.16439701595741268	62	0	0	0
1.0	26	0	0	0.058333333333333334	38	0	0	0
1.0	42	0	0	0.07794289044289043	42	0	0	0
1.0	58	0	0	0.1608974358974359	64	0	0	0
1.0	54	0	0	0.1609126984126984	76	0	0	0
1.0	26	0	0	0.109375	36	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	34	0	0	0.09412878787878788	46	0	0	0
1.0	22	0	0	0.058333333333333334	30	0	0	0
1.0	28	0	0	0.10625000000000001	40	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	62	0	0	0.09274787712287713	44	0	0	0
1.0	68	0	0	0.1277612433862434	50	0	0	0
1.0	22	0	0	0.058333333333333334	30	0	0	0
1.0	14	0	0	0.05208333333333333	20	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	32	0	0	0.0960992132867133	28	0	0	0
1.0	142	0	0	0.22489942966363022	88	0	0	0
1.0	28	0	0	0.1015625	40	0	0	0
1.0	86	0	0	0.12621220039018952	66	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	62	0	0	0.10896221532091098	44	0	0	0
1.0	24	0	0	0.11413690476190476	32	0	0	0
1.0	58	0	0	0.14549512987012986	64	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	44	0	0	0.1255005411255411	64	0	0	0
1.0	42	0	0	0.1008595571095571	40	0	0	0
1.0	40	0	0	0.09494047619047619	44	0	0	0
1.0	28	0	0	0.09412878787878788	40	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	86	0	0	0.17381102693602693	76	0	0	0
1.0	40	0	0	0.09469246031746031	52	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	32	0	0	0.10729166666666665	42	0	0	0
1.0	42	0	0	0.0984057609057609	42	0	0	0
1.0	86	0	0	0.14389724407896437	56	0	0	0
1.0	24	0	0	0.05208333333333333	34	0	0	0
1.0	24	0	0	0.05208333333333333	28	0	0	0
1.0	70	0	0	0.16059981684981686	52	0	0	0
1.0	28	0	0	0.10729166666666667	40	0	0	0
1.0	40	0	0	0.09418949106449108	44	0	0	0
1.0	74	0	0	0.1236220529878618	40	0	0	0
1.0	24	0	0	0.08958333333333333	32	0	0	0
1.0	14	0	0	0	16	0	0	0
1.0	32	0	0	0.10416666666666666	48	0	0	0
1.0	76	0	0	0.15735780423280424	58	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	20	0	0	0.0625	26	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	68	0	0	0.18352029914529916	76	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	48	0	0	0.10710955710955711	52	0	0	0
1.0	28	0	0	0.10625	40	0	0	0
1.0	118	0	0	0.19619163731005837	84	0	0	0
1.0	74	0	0	0.16558866990852283	68	0	0	0
1.0	32	0	0	0.08958333333333333	48	0	0	0
1.0	26	0	0	0.08244047619047619	36	0	0	0
1.0	46	0	0	0.1386904761904762	48	0	0	0
1.0	34	0	0	0.08746669996669997	32	0	0	0
1.0	34	0	0	0.09025297619047619	32	0	0	0
1.0	36	0	0	0.09623015873015872	30	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	16	0	0	0	20	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	28	0	0	0.10729166666666666	40	0	0	0
1.0	36	0	0	0.0875	44	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	36	0	0	0.09069940476190476	50	0	0	0
1.0	58	0	0	0.1768890831390831	64	0	0	0
1.0	42	0	0	0.08984375	48	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	26	0	0	0.10223214285714285	36	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	116	0	0	0.22171886386560297	80	0	0	0
1.0	32	0	0	0.08591269841269841	28	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	82	0	0	0.12210158262789841	50	0	0	0
1.0	32	0	0	0.08948412698412697	42	0	0	0
1.0	30	0	0	0.07897727272727273	44	0	0	0
1.0	20	0	0	0.0625	32	0	0	0
1.0	28	0	0	0.125	40	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
1.0	26	0	0	0.0625	32	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	42	0	0	0.10625	60	0	0	0
1.0	24	0	0	0.09583333333333333	32	0	0	0
1.0	88	0	0	0.1412202380952381	60	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	26	0	0	0.05208333333333333	32	0	0	0
1.0	26	0	0	0.09062499999999998	36	0	0	0
1.0	20	0	0	0.0625	26	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	94	0	0	0.14502696231394577	72	0	0	0
1.0	42	0	0	0.09840576090576092	42	0	0	0
1.0	12	0	0	0.058333333333333334	16	0	0	0
1.0	104	0	0	0.16155245498208887	64	0	0	0
1.0	16	0	0	0	20	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	22	0	0	0.058333333333333334	36	0	0	0
1.0	88	0	0	0.1380095108695652	60	0	0	0
1.0	28	0	0	0.08333333333333333	40	0	0	0
1.0	82	0	0	0.1257768732492997	56	0	0	0
1.0	16	0	0	0	20	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	94	0	0	0.20182517135642136	84	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	32	0	0	0.07738095238095237	28	0	0	0
1.0	26	0	0	0.09990079365079364	36	0	0	0
1.0	42	0	0	0.08115079365079365	56	0	0	0
1.0	24	0	0	0.0625	40	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	50	0	0	0.10138039044289043	50	0	0	0
1.0	40	0	0	0.12222222222222222	56	0	0	0
1.0	32	0	0	0.0923611111111111	42	0	0	0
1.0	54	0	0	0.16189851814851813	56	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	34	0	0	0.0960992132867133	32	0	0	0
1.0	32	0	0	0.08948412698412699	42	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	34	0	0	0.10104166666666665	46	0	0	0
1.0	44	0	0	0.11514527139527139	44	0	0	0
1.0	24	0	0	0.0625	40	0	0	0
1.0	40	0	0	0.09392361111111111	38	0	0	0
1.0	96	0	0	0.16636650386650387	84	0	0	0
1.0	28	0	0	0.08854166666666666	40	0	0	0
1.0	54	0	0	0.18471372377622375	56	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	44	0	0	0.08854166666666667	60	0	0	0
1.0	20	0	0	0.058333333333333334	26	0	0	0
1.0	30	0	0	0.09990079365079366	44	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	12	0	0	0.05208333333333333	16	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	32	0	0	0.058333333333333334	44	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	22	0	0	0.0625	36	0	0	0
1.0	68	0	0	0.12450396825396826	44	0	0	0
1.0	90	0	0	0.147712314859054	64	0	0	0
1.0	24	0	0	0.10104166666666665	32	0	0	0
1.0	110	0	0	0.16117440673361724	76	0	0	0
1.0	38	0	0	0.08523455710955712	40	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	22	0	0	0	38	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	34	0	0	0.046875	48	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	50	0	0	0.12574404761904762	70	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	26	0	0	0.08948412698412697	36	0	0	0
1.0	136	0	0	0.22141691491810112	106	0	0	0
1.0	36	0	0	0.11205929487179486	48	0	0	0
1.0	40	0	0	0.08442460317460318	44	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	30	0	0	0.0875	44	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	92	0	0	0.185515873015873	76	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	134	0	0	0.15587364024864028	52	0	0	0
1.0	8	0	0	0	10	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	24	0	0	0.058333333333333334	28	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	28	0	0	0.10625	40	0	0	0
1.0	58	0	0	0.1529647435897436	64	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	16	0	0	0.05208333333333333	24	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	64	0	0	0.11071428571428571	48	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	72	0	0	0.12374465811965811	56	0	0	0
1.0	76	0	0	0.12435515873015872	44	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	12	0	0	0	24	0	0	0
1.0	30	0	0	0.09136904761904761	24	0	0	0
1.0	44	0	0	0.16631944444444444	58	0	0	0
1.0	74	0	0	0.19175371412213515	68	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	26	0	0	0.10729166666666666	36	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	114	0	0	0.19254064836374785	76	0	0	0
1.0	40	0	0	0.09349504662004662	38	0	0	0
1.0	34	0	0	0.10104166666666665	46	0	0	0
1.0	14	0	0	0.058333333333333334	20	0	0	0
1.0	38	0	0	0.11994047619047618	52	0	0	0
1.0	30	0	0	0.09553571428571428	44	0	0	0
1.0	26	0	0	0.058333333333333334	32	0	0	0
1.0	34	0	0	0.09305555555555556	52	0	0	0
1.0	68	0	0	0.1781954156954157	76	0	0	0
1.0	28	0	0	0.058333333333333334	36	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	34	0	0	0.07801573426573427	32	0	0	0
1.0	84	0	0	0.15247885338345865	52	0	0	0
1.0	26	0	0	0.05208333333333333	38	0	0	0
1.0	62	0	0	0.18352480852480849	52	0	0	0
1.0	10	0	0	0	20	0	0	0
1.0	22	0	0	0.05208333333333333	30	0	0	0
1.0	6	0	0	0	6	0	0	0
1.0	38	0	0	0.09494047619047619	40	0	0	0
1.0	90	0	0	0.15260416666666665	64	0	0	0
1.0	28	0	0	0.071875	40	0	0	0
1.0	80	0	0	0.12374851455733808	52	0	0	0
1.0	28	0	0	0.10416666666666667	40	0	0	0
1.0	20	0	0	0.05208333333333333	26	0	0	0
1.0	116	0	0	0.13886930534990505	78	0	0	0
1.0	32	0	0	0.090625	48	0	0	0
1.0	134	0	0	0.1554124579124579	52	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	40	0	0	0.10163690476190475	56	0	0	0
1.0	22	0	0	0.05208333333333333	36	0	0	0
1.0	22	0	0	0.058333333333333334	36	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	36	0	0	0.08854166666666666	50	0	0	0
1.0	0	0	0	0	0	0	0	0
1.0	72	0	0	0.15688374125874127	56	0	0	0
1.0	16	0	0	0.0625	24	0	0	0
1.0	18	0	0	0	24	0	0	0
1.0	18	0	0	0.0625	28	0	0	0
1.0	34	0	0	0.09166666666666667	46	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	14	0	0	0.05208333333333333	20	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	20	0	0	0.058333333333333334	26	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	20	0	0	0.058333333333333334	26	0	0	0
1.0	98	0	0	0.1629077355579913	74	0	0	0
1.0	90	0	0	0.15998033828916183	58	0	0	0
1.0	28	0	0	0.10416666666666667	40	0	0	0
1.0	2	0	0	0	4	0	0	0
1.0	26	0	0	0.08645833333333333	36	0	0	0
1.0	82	0	0	0.16383673693456302	70	0	0	0
1.0	48	0	0	0.10763325216450216	46	0	0	0
1.0	26	0	0	0.058333333333333334	32	0	0	0
1.0	22	0	0	0.05	36	0	0	0
1.0	80	0	0	0.12127050339366517	46	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	24	0	0	0.07897727272727273	32	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
1.0	38	0	0	0.0713193056943057	34	0	0	0
1.0	22	0	0	0.05208333333333333	30	0	0	0
1.0	20	0	0	0.05208333333333333	26	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	72	0	0	0.12413203324808185	56	0	0	0
1.0	88	0	0	0.16696189839572192	60	0	0	0
1.0	48	0	0	0.09728084415584416	52	0	0	0
1.0	12	0	0	0	18	0	0	0
1.0	46	0	0	0.08471372377622378	44	0	0	0
1.0	14	0	0	0.0625	20	0	0	0
1.0	22	0	0	0.0625	30	0	0	0
1.0	86	0	0	0.13622501574867305	56	0	0	0
1.0	26	0	0	0.058333333333333334	32	0	0	0
1.0	68	0	0	0.1303726708074534	50	0	0	0
1.0	34	0	0	0.09990079365079364	46	0	0	0
1.0	28	0	0	0.07202380952380952	40	0	0	0
1.0	14	0	0	0	22	0	0	0
1.0	26	0	0	0.05208333333333333	38	0	0	0
1.0	34	0	0	0.07655400155400155	32	0	0	0
1.0	20	0	0	0.0625	26	0	0	0
1.0	58	0	0	0.14429997086247084	64	0	0	0
1.0	70	0	0	0.16252913752913753	52	0	0	0
1.0	16	0	0	0	26	0	0	0
1.0	16	0	0	0.05208333333333333	24	0	0	0
1.0	94	0	0	0.19560821123321126	94	0	0	0
1.0	28	0	0	0.078125	40	0	0	0
1.0	32	0	0	0.09990079365079366	48	0	0	0
1.0	16	0	0	0.058333333333333334	24	0	0	0
1.0	24	0	0	0.058333333333333334	34	0	0	0
