Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	8	0	0	0	10	0	0	0
1.0	38	0	0	0.1290674603174603	52	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	6	0	0	0	12	0	0	0
0.9090909090909091	12	0	0	0	18	0	0	0
1.0	8	0	0	0	16	0	0	0
1.0	36	0	0	0.09375	50	0	0	0
1.0	10	0	0	0	14	0	0	0
1.0	22	0	0	0.04687499999999999	36	0	0	0
1.0	114	0	0	0.21049421592899853	96	0	0	0
1.0	36	0	0	0.10416666666666666	50	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	6	0	0	0	12	0	0	0
0.8181818181818181	74	0	0	0.12462956196971543	40	0	0	0
1.0	6	0	0	0	12	0	0	0
1.0	18	0	0	0.0625	22	0	0	0
1.0	32	0	0	0.0918154761904762	42	0	0	0
1.0	12	0	0	0.05208333333333333	16	0	0	0
1.0	12	0	0	0.05208333333333333	16	0	0	0
1.0	22	0	0	0.047619047619047616	36	0	0	0
1.0	22	0	0	0.05208333333333333	30	0	0	0
1.0	20	0	0	0.058333333333333334	32	0	0	0
1.0	88	0	0	0.1649916056166056	74	0	0	0
1.0	30	0	0	0.09166666666666666	44	0	0	0
1.0	86	0	0	0.16194879466938292	56	0	0	0
1.0	62	0	0	0.15625	72	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	44	0	0	0.14858630952380952	44	0	0	0
1.0	18	0	0	0.058333333333333334	28	0	0	0
1.0	14	0	0	0.05476190476190476	20	0	0	0
1.0	18	0	0	0.041666666666666664	28	0	0	0
0.9090909090909091	64	0	0	0.11918959914883828	48	0	0	0
1.0	30	0	0	0.09791666666666667	44	0	0	0
1.0	4	0	0	0	8	0	0	0
1.0	42	0	0	0.12775297619047618	40	0	0	0
0.9090909090909091	18	0	0	0.04687499999999999	28	0	0	0
1.0	24	0	0	0.1032738095238095	32	0	0	0
1.0	60	0	0	0.13059588509316772	40	0	0	0
1.0	64	0	0	0.10963255494505494	48	0	0	0
1.0	34	0	0	0.10446428571428572	32	0	0	0
0.8636363636363636	38	0	0	0.09494047619047619	40	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
1.0	32	0	0	0.0976190476190476	48	0	0	0
1.0	22	0	0	0.05208333333333333	30	0	0	0
0.9090909090909091	14	0	0	0.058333333333333334	20	0	0	0
1.0	38	0	0	0.12299107142857141	52	0	0	0
1.0	98	0	0	0.21286858034681178	72	0	0	0
1.0	96	0	0	0.16968201754385967	70	0	0	0
1.0	6	0	0	0	6	0	0	0
0.8636363636363636	26	0	0	0.08645833333333333	36	0	0	0
1.0	22	0	0	0.05119047619047619	30	0	0	0
0.9090909090909091	26	0	0	0.0625	38	0	0	0
1.0	24	0	0	0.04444444444444444	34	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
0.9090909090909091	16	0	0	0.05208333333333333	24	0	0	0
1.0	20	0	0	0.05208333333333333	26	0	0	0
0.9090909090909091	22	0	0	0.0625	30	0	0	0
1.0	22	0	0	0.058333333333333334	30	0	0	0
1.0	18	0	0	0.05208333333333333	28	0	0	0
