Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	148	0	0	0.22432306953882028	150	0	0	0
1.0	180	0	0	0.16784162252912255	122	0	0	0
1.0	84	0	0	0.1282184829059829	110	0	0	0
1.0	166	0	0	0.2547819847636024	146	0	0	0
1.0	84	0	0	0.13203671328671326	100	0	0	0
1.0	160	0	0	0.16653727131509838	130	0	0	0
0.96875	140	0	0	0.20113437216378394	130	0	0	0
1.0	174	0	0	0.19918776047004166	124	0	0	0
1.0	90	0	0	0.17708333333333334	124	0	0	0
1.0	108	0	0	0.19808351370851368	126	0	0	0
1.0	338	0	0	0.27278679595919325	140	0	0	0
1.0	144	0	0	0.17614845406786198	132	0	0	0
1.0	114	0	0	0.16469494047619046	132	0	0	0
1.0	190	0	0	0.2477026819681979	148	0	0	0
1.0	194	0	0	0.18431463137313675	118	0	0	0
1.0	150	0	0	0.1788520060928183	118	0	0	0
1.0	190	0	0	0.22005532366455352	164	0	0	0
1.0	132	0	0	0.17503031615934841	140	0	0	0
1.0	124	0	0	0.15973678185849238	102	0	0	0
1.0	238	0	0	0.24021451033243488	154	0	0	0
0.96875	134	0	0	0.21445149009487244	150	0	0	0
0.953125	160	0	0	0.21261677880985413	146	0	0	0
1.0	132	0	0	0.20007269562223118	144	0	0	0
0.953125	148	0	0	0.21127617222818457	146	0	0	0
1.0	98	0	0	0.10533382918251338	114	0	0	0
1.0	176	0	0	0.18614318472943847	130	0	0	0
1.0	106	0	0	0.1924495456944306	126	0	0	0
0.96875	82	0	0	0.15813492063492063	102	0	0	0
1.0	136	0	0	0.15405657455289806	128	0	0	0
1.0	170	0	0	0.23376540079633384	152	0	0	0
1.0	102	0	0	0.12284902597402596	120	0	0	0
0.96875	146	0	0	0.21157072604682897	120	0	0	0
0.96875	114	0	0	0.16354202965077574	140	0	0	0
1.0	166	0	0	0.19492021904064238	152	0	0	0
1.0	142	0	0	0.16090925924750787	128	0	0	0
1.0	318	0	0	0.2996268500869393	176	0	0	0
1.0	78	0	0	0.03279220779220779	100	0	0	0
0.953125	122	0	0	0.2135416666666667	130	0	0	0
1.0	136	0	0	0.17812485553475257	122	0	0	0
1.0	136	0	0	0.2045396886824905	152	0	0	0
