Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	104	0	0	0.20020631941587824	84	0	0	0
1.0	60	0	0	0.09265109890109889	66	0	0	0
1.0	114	0	0	0.18829512199756765	96	0	0	0
1.0	26	0	0	0.058333333333333334	38	0	0	0
1.0	36	0	0	0.058333333333333334	52	0	0	0
1.0	46	0	0	0.04285714285714286	66	0	0	0
1.0	56	0	0	0.06498917748917749	78	0	0	0
1.0	36	0	0	0.058333333333333334	46	0	0	0
1.0	46	0	0	0.05208333333333333	54	0	0	0
1.0	78	0	0	0.12119755244755245	86	0	0	0
1.0	52	0	0	0.08854166666666666	70	0	0	0
1.0	62	0	0	0.07916666666666666	88	0	0	0
1.0	84	0	0	0.12142602767602768	68	0	0	0
1.0	96	0	0	0.1631800491175491	90	0	0	0
1.0	122	0	0	0.18394757428403022	96	0	0	0
1.0	58	0	0	0.1024621212121212	60	0	0	0
1.0	100	0	0	0.1699784168126559	78	0	0	0
1.0	32	0	0	0	52	0	0	0
1.0	92	0	0	0.12510471412645324	84	0	0	0
1.0	172	0	0	0.21177725412565226	100	0	0	0
1.0	96	0	0	0.12278635901347572	72	0	0	0
1.0	84	0	0	0.15871888528138528	68	0	0	0
1.0	186	0	0	0.23714045698924732	106	0	0	0
1.0	88	0	0	0.16124084249084247	76	0	0	0
1.0	50	0	0	0.05476190476190476	68	0	0	0
1.0	78	0	0	0.11446007696007696	64	0	0	0
1.0	70	0	0	0.1389501123876124	68	0	0	0
1.0	46	0	0	0	62	0	0	0
1.0	90	0	0	0.18626651126651128	106	0	0	0
1.0	36	0	0	0.05476190476190476	58	0	0	0
1.0	46	0	0	0.09305555555555554	70	0	0	0
0.8181818181818181	28	0	0	0	38	0	0	0
1.0	56	0	0	0.08035714285714286	72	0	0	0
1.0	48	0	0	0.046875	64	0	0	0
1.0	76	0	0	0.13211137820512822	82	0	0	0
1.0	50	0	0	0.04285714285714286	68	0	0	0
1.0	60	0	0	0.10267857142857142	72	0	0	0
1.0	156	0	0	0.18951804618281948	88	0	0	0
1.0	48	0	0	0.08058712121212121	62	0	0	0
1.0	100	0	0	0.16581946318788424	86	0	0	0
1.0	112	0	0	0.21663423086846073	88	0	0	0
1.0	114	0	0	0.13619371063382707	94	0	0	0
1.0	70	0	0	0.10165839062897886	82	0	0	0
