Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	146	0	0	0.15865212912087914	130	0	0	0
1.0	132	0	0	0.12898160866910865	126	0	0	0
1.0	106	0	0	0.11609492481203007	86	0	0	0
1.0	166	0	0	0.18867559523809524	146	0	0	0
1.0	100	0	0	0.12010947428904087	128	0	0	0
1.0	118	0	0	0.11263420854171628	132	0	0	0
1.0	170	0	0	0.23699575601180914	150	0	0	0
1.0	160	0	0	0.19248135842205535	164	0	0	0
1.0	112	0	0	0.17816107503607503	114	0	0	0
1.0	116	0	0	0.11332872064296215	130	0	0	0
1.0	112	0	0	0.11737132352941176	92	0	0	0
1.0	144	0	0	0.13305903866248694	126	0	0	0
1.0	130	0	0	0.10859765234765234	110	0	0	0
1.0	178	0	0	0.1744521103896104	130	0	0	0
1.0	146	0	0	0.15433298319327732	116	0	0	0
1.0	104	0	0	0.10100923382173382	120	0	0	0
1.0	184	0	0	0.21384193799481838	156	0	0	0
1.0	146	0	0	0.1531209531209531	122	0	0	0
1.0	160	0	0	0.15430719573182805	124	0	0	0
1.0	100	0	0	0.11139346764346765	124	0	0	0
1.0	118	0	0	0.13952583874458874	144	0	0	0
1.0	164	0	0	0.1905214898459384	152	0	0	0
1.0	186	0	0	0.19542061170098257	154	0	0	0
1.0	272	0	0	0.18533877106222124	110	0	0	0
1.0	166	0	0	0.17063188297785153	142	0	0	0
1.0	142	0	0	0.14719727517106548	146	0	0	0
1.0	120	0	0	0.14708957891523683	164	0	0	0
1.0	76	0	0	0.09996279761904761	86	0	0	0
1.0	166	0	0	0.1849561462842713	164	0	0	0
1.0	116	0	0	0.14448396782955605	140	0	0	0
1.0	136	0	0	0.14699582271593142	128	0	0	0
1.0	208	0	0	0.22088160683650773	162	0	0	0
1.0	156	0	0	0.16567345003236023	158	0	0	0
1.0	142	0	0	0.17170138888888886	156	0	0	0
1.0	152	0	0	0.15146000488766606	128	0	0	0
1.0	156	0	0	0.19433066933066934	136	0	0	0
1.0	276	0	0	0.23445648755893575	160	0	0	0
1.0	166	0	0	0.19933348799756734	132	0	0	0
1.0	138	0	0	0.1608197358197358	140	0	0	0
1.0	180	0	0	0.18054516459847345	138	0	0	0
1.0	100	0	0	0.17183729260935143	126	0	0	0
1.0	206	0	0	0.21897133006354544	160	0	0	0
1.0	192	0	0	0.17895284965912217	132	0	0	0
1.0	126	0	0	0.1280145202020202	116	0	0	0
1.0	64	0	0	0.0625	84	0	0	0
1.0	112	0	0	0.14803876678876676	110	0	0	0
1.0	112	0	0	0.13065530106970324	124	0	0	0
1.0	140	0	0	0.1638816045066045	130	0	0	0
1.0	122	0	0	0.16731691919191916	122	0	0	0
1.0	156	0	0	0.16662853425527574	136	0	0	0
1.0	190	0	0	0.19250872593395382	146	0	0	0
1.0	170	0	0	0.18310798887314905	138	0	0	0
1.0	144	0	0	0.16602178821303634	136	0	0	0
1.0	228	0	0	0.21925217094044494	148	0	0	0
1.0	66	0	0	0.06406926406926407	86	0	0	0
1.0	208	0	0	0.2226218361246252	158	0	0	0
1.0	120	0	0	0.11410984848484848	124	0	0	0
1.0	92	0	0	0.06177156177156177	118	0	0	0
1.0	160	0	0	0.1723393777072246	136	0	0	0
1.0	256	0	0	0.2649970122937806	166	0	0	0
1.0	142	0	0	0.17215878663247083	138	0	0	0
1.0	112	0	0	0.14733308165003212	132	0	0	0
1.0	90	0	0	0.07239583333333333	118	0	0	0
1.0	152	0	0	0.1581677152027133	142	0	0	0
1.0	74	0	0	0.05064102564102564	98	0	0	0
1.0	182	0	0	0.17269277226901064	136	0	0	0
1.0	172	0	0	0.20127957979520478	128	0	0	0
1.0	172	0	0	0.16261590797244843	126	0	0	0
1.0	128	0	0	0.1480010440947941	142	0	0	0
1.0	126	0	0	0.1295138888888889	122	0	0	0
1.0	178	0	0	0.17091090773155987	122	0	0	0
1.0	122	0	0	0.14013288429406853	126	0	0	0
1.0	96	0	0	0.12122326203208558	122	0	0	0
1.0	138	0	0	0.1578542536432436	154	0	0	0
1.0	176	0	0	0.17726251840302348	152	0	0	0
1.0	360	0	0	0.2618800676575642	154	0	0	0
1.0	200	0	0	0.21377536058002808	166	0	0	0
1.0	326	0	0	0.270810202581386	198	0	0	0
1.0	156	0	0	0.15841329966329967	148	0	0	0
1.0	84	0	0	0.06889880952380953	108	0	0	0
1.0	86	0	0	0.12049274255156608	120	0	0	0
1.0	98	0	0	0.10613586780866192	114	0	0	0
1.0	142	0	0	0.16752861431654004	156	0	0	0
1.0	192	0	0	0.16436489049278052	136	0	0	0
1.0	212	0	0	0.18476224210310768	144	0	0	0
1.0	258	0	0	0.22000831255386702	162	0	0	0
1.0	218	0	0	0.20497996794871798	170	0	0	0
1.0	126	0	0	0.15818606649198752	138	0	0	0
1.0	96	0	0	0.12867132867132866	120	0	0	0
1.0	132	0	0	0.1432563942858887	118	0	0	0
1.0	162	0	0	0.14855367104103054	148	0	0	0
1.0	142	0	0	0.1684609704076533	120	0	0	0
1.0	138	0	0	0.12819711538461537	116	0	0	0
1.0	170	0	0	0.1856179410866911	180	0	0	0
1.0	188	0	0	0.19378815628815624	156	0	0	0
1.0	114	0	0	0.14812842493763548	122	0	0	0
1.0	126	0	0	0.1436870421245421	112	0	0	0
1.0	164	0	0	0.16634334415584415	132	0	0	0
1.0	162	0	0	0.16846201930253657	140	0	0	0
1.0	88	0	0	0.13567708333333334	106	0	0	0
1.0	102	0	0	0.0998171966921967	116	0	0	0
1.0	164	0	0	0.18239310156429722	148	0	0	0
1.0	106	0	0	0.12883717589599944	132	0	0	0
1.0	160	0	0	0.17378838696563154	150	0	0	0
1.0	100	0	0	0.1509646739130435	90	0	0	0
1.0	148	0	0	0.15471200096200097	134	0	0	0
1.0	156	0	0	0.17563659275595817	134	0	0	0
1.0	172	0	0	0.1617655974079797	146	0	0	0
1.0	142	0	0	0.15387188532926518	114	0	0	0
1.0	110	0	0	0.1385184077618288	134	0	0	0
1.0	98	0	0	0.09848710317460319	110	0	0	0
1.0	142	0	0	0.13561083524318818	126	0	0	0
1.0	168	0	0	0.1640436779415618	132	0	0	0
1.0	244	0	0	0.22554254146876268	142	0	0	0
1.0	202	0	0	0.2450166534192403	166	0	0	0
1.0	130	0	0	0.16879960317460316	136	0	0	0
1.0	90	0	0	0.1015625	106	0	0	0
1.0	226	0	0	0.21448713991158813	138	0	0	0
1.0	162	0	0	0.19654057706485273	168	0	0	0
1.0	226	0	0	0.21103015643776515	152	0	0	0
1.0	142	0	0	0.1386053146726771	138	0	0	0
1.0	92	0	0	0.13407738095238092	112	0	0	0
1.0	182	0	0	0.1699380894684438	132	0	0	0
1.0	124	0	0	0.12332853966685489	130	0	0	0
1.0	254	0	0	0.20184289823423013	152	0	0	0
1.0	96	0	0	0.12598443223443223	106	0	0	0
1.0	142	0	0	0.14066584967320261	124	0	0	0
1.0	84	0	0	0.09640549401578813	118	0	0	0
1.0	176	0	0	0.1943303430243065	158	0	0	0
1.0	124	0	0	0.1644343074674784	132	0	0	0
1.0	104	0	0	0.1344649835458659	110	0	0	0
1.0	166	0	0	0.18027083412326647	124	0	0	0
1.0	114	0	0	0.14759816207184626	128	0	0	0
1.0	138	0	0	0.14030225101307695	128	0	0	0
1.0	136	0	0	0.1620648765579106	150	0	0	0
1.0	186	0	0	0.17960241257347004	158	0	0	0
1.0	166	0	0	0.2049748495496784	146	0	0	0
1.0	80	0	0	0.09254807692307693	98	0	0	0
1.0	116	0	0	0.13300553613053614	120	0	0	0
1.0	136	0	0	0.16330223595848598	136	0	0	0
1.0	218	0	0	0.185543819302043	152	0	0	0
1.0	140	0	0	0.19313962607440865	128	0	0	0
1.0	200	0	0	0.1879822355721906	140	0	0	0
1.0	116	0	0	0.14064105710525146	104	0	0	0
1.0	168	0	0	0.16148185696607595	146	0	0	0
1.0	142	0	0	0.15373662795537796	120	0	0	0
1.0	102	0	0	0.11125228937728938	102	0	0	0
1.0	260	0	0	0.24837236620601283	166	0	0	0
1.0	94	0	0	0.0931299603174603	114	0	0	0
1.0	130	0	0	0.1466864630467572	140	0	0	0
1.0	196	0	0	0.2021658556585027	174	0	0	0
1.0	150	0	0	0.15090431743744454	156	0	0	0
1.0	96	0	0	0.0819601558572147	130	0	0	0
1.0	178	0	0	0.19807277426520847	134	0	0	0
1.0	150	0	0	0.1454978354978355	124	0	0	0
1.0	112	0	0	0.1339427750611961	118	0	0	0
1.0	102	0	0	0.12918518342038082	120	0	0	0
1.0	136	0	0	0.15305578169923134	114	0	0	0
1.0	84	0	0	0.08537946428571427	96	0	0	0
1.0	110	0	0	0.1443356259968102	134	0	0	0
1.0	144	0	0	0.1329719998198259	108	0	0	0
1.0	82	0	0	0.06801046176046176	110	0	0	0
1.0	142	0	0	0.14415605693963227	128	0	0	0
1.0	142	0	0	0.16236303334193533	128	0	0	0
1.0	170	0	0	0.17020627622676518	134	0	0	0
1.0	130	0	0	0.1688374404859211	144	0	0	0
1.0	218	0	0	0.20255616683354377	150	0	0	0
1.0	254	0	0	0.20543826648503768	156	0	0	0
1.0	130	0	0	0.16258165932508037	132	0	0	0
1.0	204	0	0	0.23904965805346068	152	0	0	0
1.0	168	0	0	0.19055152133317094	134	0	0	0
1.0	134	0	0	0.1504235347985348	126	0	0	0
1.0	144	0	0	0.1544312047601521	132	0	0	0
1.0	144	0	0	0.1666977466977467	138	0	0	0
1.0	172	0	0	0.17303157068751157	108	0	0	0
1.0	232	0	0	0.2024083242871558	140	0	0	0
1.0	174	0	0	0.16033627266696157	152	0	0	0
1.0	128	0	0	0.12249729437229437	118	0	0	0
1.0	124	0	0	0.12241285403050109	114	0	0	0
1.0	170	0	0	0.17774256743381556	154	0	0	0
1.0	240	0	0	0.23112448128060653	158	0	0	0
1.0	158	0	0	0.14795692431562	134	0	0	0
1.0	104	0	0	0.1315360803412274	130	0	0	0
1.0	134	0	0	0.12785463328941588	140	0	0	0
1.0	124	0	0	0.14778280929596718	122	0	0	0
1.0	80	0	0	0.09505208333333333	94	0	0	0
1.0	170	0	0	0.1860199571509636	140	0	0	0
1.0	90	0	0	0.09576569264069262	106	0	0	0
1.0	178	0	0	0.17739465527177709	134	0	0	0
1.0	136	0	0	0.18026019119769116	128	0	0	0
1.0	144	0	0	0.1676902958152958	146	0	0	0
1.0	144	0	0	0.15462970307571033	124	0	0	0
1.0	108	0	0	0.11188286768056505	126	0	0	0
1.0	140	0	0	0.13134371254222513	126	0	0	0
1.0	78	0	0	0.14829306722689076	110	0	0	0
1.0	126	0	0	0.16085971320346318	138	0	0	0
1.0	132	0	0	0.15181597915972914	130	0	0	0
1.0	104	0	0	0.11822357895727462	88	0	0	0
1.0	96	0	0	0.11119590387682493	114	0	0	0
1.0	172	0	0	0.19322306842809342	144	0	0	0
1.0	238	0	0	0.2239903143274854	160	0	0	0
1.0	280	0	0	0.25343116622515605	198	0	0	0
1.0	240	0	0	0.21461146930130767	180	0	0	0
1.0	144	0	0	0.16824585438715872	136	0	0	0
1.0	142	0	0	0.15875815575892974	130	0	0	0
1.0	140	0	0	0.1563415750915751	132	0	0	0
1.0	198	0	0	0.22164204283245867	164	0	0	0
1.0	192	0	0	0.18390141108891112	154	0	0	0
1.0	156	0	0	0.16141734452174497	144	0	0	0
1.0	98	0	0	0.12759722915972915	132	0	0	0
1.0	116	0	0	0.1398781773781774	108	0	0	0
1.0	134	0	0	0.14627088512021044	120	0	0	0
1.0	164	0	0	0.19395755898513253	162	0	0	0
1.0	172	0	0	0.19940569001810213	144	0	0	0
1.0	114	0	0	0.12365277266593058	150	0	0	0
1.0	130	0	0	0.15807735973177148	118	0	0	0
1.0	174	0	0	0.18597206336358238	142	0	0	0
1.0	128	0	0	0.12255608974358977	132	0	0	0
1.0	80	0	0	0.06833791208791208	88	0	0	0
1.0	134	0	0	0.1455575293979899	120	0	0	0
1.0	338	0	0	0.2670831693755495	180	0	0	0
1.0	84	0	0	0.08777586792292674	124	0	0	0
1.0	96	0	0	0.13041072489601904	122	0	0	0
1.0	240	0	0	0.24007597397728297	144	0	0	0
1.0	142	0	0	0.1564852933804547	148	0	0	0
1.0	126	0	0	0.1505845869816458	124	0	0	0
1.0	150	0	0	0.16871600229925357	136	0	0	0
1.0	134	0	0	0.15863550364324358	148	0	0	0
1.0	192	0	0	0.17271557937676357	136	0	0	0
1.0	220	0	0	0.22462602212602212	174	0	0	0
1.0	96	0	0	0.11795383892423365	114	0	0	0
1.0	160	0	0	0.17505981487094793	142	0	0	0
1.0	138	0	0	0.1647439974651369	126	0	0	0
1.0	108	0	0	0.128481240981241	126	0	0	0
1.0	122	0	0	0.16088116067798733	148	0	0	0
1.0	158	0	0	0.14620385153743476	142	0	0	0
1.0	266	0	0	0.26304384459626395	178	0	0	0
1.0	100	0	0	0.11559586247086248	104	0	0	0
1.0	144	0	0	0.1652777777777778	132	0	0	0
1.0	164	0	0	0.1868054495596611	156	0	0	0
1.0	300	0	0	0.2446619620632779	170	0	0	0
1.0	132	0	0	0.1640984015984016	134	0	0	0
1.0	264	0	0	0.24982785214466252	176	0	0	0
1.0	140	0	0	0.1622549578044934	136	0	0	0
1.0	170	0	0	0.1957731882236358	146	0	0	0
1.0	126	0	0	0.12827293213322624	134	0	0	0
1.0	150	0	0	0.17936926197795763	142	0	0	0
1.0	236	0	0	0.20186604191395133	124	0	0	0
1.0	240	0	0	0.2522314810193481	162	0	0	0
