Utilization	Connections(A2A)	Lvl1TraffRatio(A2A)	Lvl1TraffRatioNoIndirect(A2A)	RatioIndirect(A2A)	Connections(AR)	Lvl1TraffRatio(AR)	Lvl1TraffRatioNoIndirect(AR)	RatioIndirect(AR)
1.0	112	0	0	0.17779564185814184	136	0	0	0
1.0	300	0	0	0.21428796051327692	140	0	0	0
1.0	130	0	0	0.18376758658008657	122	0	0	0
1.0	86	0	0	0.08779337492572788	110	0	0	0
1.0	172	0	0	0.18643070251042387	152	0	0	0
1.0	266	0	0	0.29185218679462105	152	0	0	0
1.0	118	0	0	0.15051831338596044	116	0	0	0
1.0	122	0	0	0.17486163324979115	130	0	0	0
1.0	104	0	0	0.1449847027972028	138	0	0	0
1.0	294	0	0	0.26846943907052084	178	0	0	0
1.0	158	0	0	0.18948930404097147	138	0	0	0
1.0	164	0	0	0.2220596214130697	130	0	0	0
1.0	158	0	0	0.1970292024979525	138	0	0	0
1.0	380	0	0	0.3054313476500197	178	0	0	0
1.0	158	0	0	0.2190901532677848	148	0	0	0
1.0	56	0	0	0.05	80	0	0	0
1.0	134	0	0	0.19127414123544156	120	0	0	0
1.0	194	0	0	0.23384891456699966	132	0	0	0
1.0	252	0	0	0.23844945752306593	158	0	0	0
1.0	104	0	0	0.15288938492063492	124	0	0	0
1.0	116	0	0	0.1556593131670531	130	0	0	0
1.0	102	0	0	0.12959020146520145	116	0	0	0
1.0	222	0	0	0.29083522457398014	156	0	0	0
1.0	202	0	0	0.27097495462938315	138	0	0	0
1.0	148	0	0	0.20694818476907673	124	0	0	0
1.0	150	0	0	0.1766720141720142	152	0	0	0
1.0	120	0	0	0.19342275371687134	122	0	0	0
1.0	86	0	0	0.08397435897435897	108	0	0	0
1.0	132	0	0	0.1709890913180387	114	0	0	0
1.0	106	0	0	0.14430908895885675	128	0	0	0
1.0	220	0	0	0.21577714671299245	130	0	0	0
1.0	168	0	0	0.18194988407102744	136	0	0	0
1.0	150	0	0	0.24773733211233212	138	0	0	0
1.0	122	0	0	0.18015929383116885	122	0	0	0
1.0	114	0	0	0.17224702380952378	130	0	0	0
1.0	126	0	0	0.18213999542124543	120	0	0	0
1.0	90	0	0	0.14914911477411477	104	0	0	0
1.0	104	0	0	0.1691738714716656	106	0	0	0
1.0	196	0	0	0.2091398337108262	134	0	0	0
1.0	126	0	0	0.16698585642084093	116	0	0	0
1.0	72	0	0	0.06510416666666666	98	0	0	0
1.0	194	0	0	0.23963885931849319	162	0	0	0
1.0	100	0	0	0.1116994116994117	126	0	0	0
1.0	158	0	0	0.2187440491547496	144	0	0	0
1.0	270	0	0	0.2803991489192567	150	0	0	0
1.0	100	0	0	0.10577186853002071	94	0	0	0
1.0	390	0	0	0.29968143315715257	182	0	0	0
1.0	74	0	0	0.0453125	92	0	0	0
1.0	76	0	0	0.06514594474153297	92	0	0	0
1.0	284	0	0	0.1842430707518192	128	0	0	0
1.0	222	0	0	0.2667959240649458	142	0	0	0
1.0	138	0	0	0.16796904493353795	132	0	0	0
1.0	124	0	0	0.20237747315678814	134	0	0	0
1.0	152	0	0	0.17432397646213438	156	0	0	0
1.0	98	0	0	0.11049783549783548	106	0	0	0
1.0	114	0	0	0.13774558774558773	132	0	0	0
1.0	188	0	0	0.20989318192192905	154	0	0	0
1.0	162	0	0	0.2127932304604804	118	0	0	0
1.0	198	0	0	0.24305811944405212	146	0	0	0
1.0	188	0	0	0.23300905774739172	160	0	0	0
1.0	128	0	0	0.1628809001670844	114	0	0	0
1.0	100	0	0	0.14760101010101007	128	0	0	0
